node_1,node_2,edge
Language,fractal structure,exhibits
Language,self-similarity across scales,exhibits
Language,long-range dependence (LRD),exhibits
Large language models (LLMs),fractal characteristics,replicate
Temperature setting,LLMs,affects output of
Prompting method,LLMs,affects output of
Fractal parameters,natural language,observed in
Fractal parameters,LLMs’ output,vary widely in
Fractal parameters,detecting LLM-generated texts,helpful in
Findings,architecture choice,robust to
Dataset,articles generated by LLMs,comprises
Dataset,human-generated texts,includes
Fractal properties,prompting,interplay with
Fractal properties,statistical mimicry in LLMs,interplay with
information-theoretic complexity of language,self-similarity,exhibits
information-theoretic complexity of language,long-range dependence (LRD),exhibits
self-similarity,stochastic process,property of
self-similarity,Ethernet traffic,example found in
self-similarity,burstiness,manifests as
self-similarity,recursive structure of language,attributed to
long-range dependence (LRD),stochastic process,property of
long-range dependence (LRD),distant past,influenced by
self-similarity,Hölder exponent,quantified using
long-range dependence (LRD),Hurst exponent,quantified using
Hölder exponent,self-similarity,characterizes
Hölder exponent,autocorrelation function,characterizes rate of decay in
smaller values of S,more significant self-similar structure,indicates
Hurst exponent,dependence across time,indicates
larger values of H,more dependence across time,indicates
S,H,compared in LLM-generated texts vs natural language
LLMs,fractal characteristics,aim to replicate
temperature settings,LLM's ability to replicate fractal characteristics,influences
instruction-tuning,LLM's ability to replicate fractal characteristics,influences
prompting,LLM's ability to replicate fractal characteristics,influences
model size,LLM's ability to replicate fractal characteristics,influences
chain rule of probability,LLM's capability to replicate fractal structure,supports
LLMs,token level calibration,are reasonably calibrated at
auto-regressive decoding,structure of natural language,should capture
token-level probability scores,well-calibrated,condition for capturing structure
chain rule,subsequent token probability,conditions on prior tokens
self-similarity,long-range dependence,related fractal characteristics
