node_1,node_2,edge
Bandit Online Linear Optimization,hints,studies variants with access to external information
Bandit Online Linear Optimization,queries,studies variants where algorithm can issue queries
online linear optimization (OLO),bandit feedback,variant with limited feedback
hints,regret bounds,cannot improve standard regret bounds in bandit setting
queries,regret,enables O(log T) regret if responses are correct
adversarial query responses,robustness,handled using feedback on response quality
algorithm,adversary,plays T-round game over convex domain
cost vector,played vector,inner product defines loss
adversary,cost vector,replies with
cost vector,played vectors,inner product of
loss,inner product,is
algorithm,regret,performance measured by
regret,total loss,difference between
total loss,best single vector in hindsight,compared to
OLO,full-information feedback setting,has setting
OLO,bandit feedback setting,has setting
full-information feedback setting,cost vector,algorithm sees
bandit feedback setting,loss,only visible to algorithm
OLO,hints,uses
hints,algorithm,received before playing vector
regret,log T,can be improved to
algorithm,hint,receives before playing a vector
hint,cost vector,mildly correlated with
hint-based algorithms,full-information setting,operate in
hint-based algorithms,cost vector,depend on availability of
bandit OLO,hint,questioned whether hints can help
good hints,bandit OLO,insufficient to obtain better than O(√T) regret
bandit OLO,full-information setting,contrasts with logarithmic regret possible in
lower bound,pair of distributions on the plane,based on constructing
no low-regret algorithm,pair of distributions,cannot distinguish
