node_1,node_2,edge
Test Time Adaptation (TTA) methods,unlabeled data,leverage at test time to adapt to distribution shifts
Test Time Adaptation (TTA) methods,computational cost,impressive performance comes at the cost of significantly increased computation budgets
current evaluation protocols,extra computation cost,overlook the effect of
proposed evaluation protocol,Test Time Adaptation (TTA) methods,penalizes slower methods by providing fewer samples for adaptation
proposed evaluation protocol,data stream,receives data in an online fashion from a constant-speed data stream
proposed evaluation protocol,adaptation speed,accounts for the method's adaptation speed
SHOT (2020),SAR (2023),outperforms in the proposed setting
simple and fast approaches,more sophisticated but slower methods,can outperform when accounting for inference speed
Deep Neural Networks (DNNs),large datasets,learn from
Deep Neural Networks (DNNs),out-of-distribution data,poor performance on
Test-Time Adaptation (TTA) methods,accuracy,need to be both accurate and efficient
Test-Time Adaptation (TTA) methods,efficiency,need to be both accurate and efficient
offline evaluation,average error rate,shows decreasing trend over time
online evaluation,adaptation speed,accounts for
AdaBN,online evaluation,unaffected by
SAR,online evaluation,penalized by
i.i.d. assumption,training and testing data,assumes same distribution
distribution shifts,real-world applications,common in
distribution shifts,image corruptions,example of
distribution shifts,changing weather conditions,example of
distribution shifts,security breaches,example of
Test Time Adaptation (TTA),distribution shifts,solves problem of
Test Time Adaptation (TTA),unlabeled data at test time,leverages
Test Time Adaptation (TTA),pre-trained DNNs,adapts forward pass of
proxy task,Test Time Adaptation (TTA),used by
TTA methods,high computational overhead,incurs
self-supervised fine-tuning,TTA methods,required by some
diffusion process per input,TTA methods,performed by some
computational overhead,inference speed,decreases
inference speed,real-world applications,critical property in
