node_1,node_2,edge
Naive imputation,high-dimensional linear models,implicitly regularizes
Imputation,predictive algorithms,used prior to fitting
Imputation,low-capacity predictors,biased when applied after
Zero imputation,ridge method,performs implicit regularization closely related to
Imputation bias,ridge bias,controlled by
Imputation bias,high dimension,vanishes in
Averaged SGD strategy,zero-imputed data,applied to
Averaged SGD strategy,generalization error,has an upper bound on
Imputation,d ≫ n regime,is benign in
Missing data,modern data science,is an inherent problem in
missing entries,data sources,caused by merging different
missing entries,sensor failures,caused by
missing entries,difficulty to collect/access data,caused by
throwing partial observations away,data set size,reduces
throwing partial observations away,statistical analysis,hinders
missing values,specific methods,require development of
model estimation,missing values,aims to infer parameters despite
supervised machine learning problem,missing values,involves
prediction function,missing values,built despite
imputation,data set,completes
imputation,predictor,enables training on completed data
imputation,data set,applied to
imputation,predictor,precedes training of
mean imputation,imputation,is a type of
two-step strategies,imputation,includes
two-step strategies,predictor,uses
two-step strategies,consistency,exhibits property of
predictor,approximation capacity,depends on
low-capacity predictors,linear models,includes
low-capacity predictors,missing patterns,decomposes prediction task by
pattern-by-pattern predictors,missing patterns,based on
NeuMiss architecture,pattern-by-pattern predictors,is a specific instance of
pattern-by-pattern predictors,high-dimensional data sets,does not scale with
principal component regression (PCR),linear models,trains with missing inputs
principal component regression (PCR),out-of-sample prediction,requires retraining for
