node_1,node_2,edge
PROSE,preference descriptions,enhances precision of
PROSE,iterative refinement,incorporates
PROSE,verification across multiple writing samples,incorporates
LLMs,writing agents,act as
writing agents,user preferences,infer description of
agent alignment,inferred preference description,comes from conditioning on
PROSE,CI PHER,improves over by 33%
ICL,PROSE,are complementary methods
ICL and PROSE combined,ICL alone,provides up to 9% improvement over
PROSE,ICL,complementary methods; combining them provides up to 9% improvement over ICL alone
LLM-powered AI Assistants,tasks,used to complete tasks on behalf of users
LLM,writing style,learns a generic writing style during pretraining
user's preferred writing style,LLM's generic writing style,"may not match, leading to impersonal or misaligned outputs"
existing approaches,preference learning,"include preference rankings (RLHF), demonstrations, prompting, and user edits"
RLHF,SFT,both require a large number of samples and do not learn preferences in a form users can use
RLHF,SFT,are both methods that require a large number of samples
RLHF,user demonstrations,learns from
SFT,user demonstrations,learns from
In-context learning (ICL),user demonstrations,learns from a small number of
In-context learning (ICL),interpretability,lacks
In-context learning (ICL),control,offers limited
prompting approaches,high-quality prompt,require identifying
methods that learn from user edits,user preferences,ignore data about
methods that learn from user edits,style,ignore data about
CIPHER,LLM,aligns through prompting
CIPHER,preference description,learns
CIPHER,ICL,compared to
preference description,user edits,learned from
CIPHER,refine,does not enable reflection and
PROSE,CIPHER,builds on
PROSE,preference description,enhances precision and efficacy of
PROSE,iterative refinement,leverages
