node_1,node_2,edge
uhr segmentation,urur dataset,The URUR dataset is introduced to facilitate the field of UHR segmentation by providing a large-scale benchmark with fine-grained annotations and high-resolution images.
urur dataset,wsdnet,"The URUR dataset is further enhanced by proposing WSDNet, a more efficient framework for UHR segmentation, especially with ultra-rich context."
uhr segmentation,wsdnet,"WSDNet is proposed as a framework for UHR segmentation, integrating multi-level Discrete Wavelet Transform and Wavelet Smooth Loss for improved performance."
urur dataset,deepglobe,"URUR dataset is described as far superior compared to existing UHR datasets including DeepGlobe, Inria Aerial, UDD, etc."
urur dataset,inria aerial,"URUR dataset is described as far superior compared to existing UHR datasets including DeepGlobe, Inria Aerial, UDD, etc."
urur dataset,udd,"URUR dataset is described as far superior compared to existing UHR datasets including DeepGlobe, Inria Aerial, UDD, etc."
sensor technologies,ultra-high resolution (uhr) images,"Sensor technologies are enabling the accessibility and analysis of ultra-high resolution images, leading to new opportunities for the computer vision community."
ultra-high resolution (uhr) images,semantic segmentation,"The focus of the paper is on semantic segmentation for ultra-high resolution images, highlighting the importance of this technology in various applications."
ultra-high resolution (uhr) images,deepglobe,"DeepGlobe is one of the commonly-used datasets in existing ultra-high resolution segmentation methods, indicating its relevance in research."
ultra-high resolution (uhr) images,inria aerial,"Inria Aerial is another dataset commonly used in ultra-high resolution segmentation, although it has limitations in scene diversity and category annotations."
ultra-high resolution (uhr) images,cityscapes,"Cityscapes is also a frequently-used dataset in the context of ultra-high resolution image segmentation, contributing to research and development in the field."
deepglobe,inria aerial,"Inria Aerial has higher resolution images compared to DeepGlobe, but is limited in scene diversity and category annotations, impacting the evaluation of segmentation methods."
inria aerial,building,"Inria Aerial dataset only annotates one category of building, which may not be sufficient to fully validate the performance of ultra-high resolution segmentation methods."
uhr segmentation methods,performance,UHR segmentation methods performance needs to be fully verified
uhr segmentation methods,development of the community,UHR segmentation methods are limiting the development of the community
uhr segmentation methods,benchmark dataset,UHR segmentation methods necessitate the creation of a benchmark dataset
benchmark dataset,large-scale,Benchmark dataset required should be large-scale
benchmark dataset,wide range of scenes,Benchmark dataset should cover a wide range of scenes
benchmark dataset,dense annotations,Benchmark dataset should have full fine-grained dense annotations
urur dataset,ultra-high resolution,URUR dataset described as Ultra-High Resolution according to the paper
urur dataset,ultra-rich context,URUR dataset provides Ultra-Rich Context for UHR images
urur dataset,"3,008 uhr images","URUR dataset consists of 3,008 UHR images"
urur dataset,"5,120×5,120 resolution","URUR dataset images are of size 5,120×5,120 resolution"
urur dataset,80 billion manually annotated pixels,URUR dataset includes 80 billion manually annotated pixels
urur dataset,2 million fine-grained instances,URUR dataset has 2 million fine-grained instances
urur dataset,ultra-high context,URUR dataset is of ultra-high context
natural datasets,pascal voc,Comparison between natural datasets like Pascal VOC and others
natural datasets,coco,Comparison between natural datasets like COCO and others
natural datasets,cityscapes,Comparison between natural datasets like Cityscapes and others
natural datasets,representative uhr datasets,Comparison between natural datasets and representative UHR datasets
uhr datasets,deep-globe,Comparison between UHR datasets and Deep-Globe dataset
uhr datasets,isic,Comparison between UHR datasets and ISIC dataset
uhr datasets,udd6,Comparison between UHR datasets and UDD6 dataset
uhr datasets,uavid,Comparison between UHR datasets and UAVid dataset
uhr datasets,inria aerial,Comparison between UHR datasets and Inria Aerial dataset
uhr datasets,urur,Comparison between UHR datasets and URUR dataset
uhr datasets,coarse annotations,UHR datasets either adopt coarse annotations
uhr datasets,only one category annotation,UHR datasets either adopt only one category annotation
uhr datasets,urur dataset,Existing UHR datasets compared to the proposed URUR dataset
urur dataset,8 categories,URUR dataset utilizes fine-grained dense annotations for whole 8 categories
uhr segmentation,two-branch global-local collaborative network,Works for UHR segmentation utilize a two-branch global-local collaborative network
glnet,fctl,Representative works include GLNet and FCtL
isdnet,shallow and deep networks,ISDNet is proposed to integrate shallow and deep networks for efficient segmentation
shallow branch,fewer layers and faster inference speed,The shallow branch has fewer layers and faster inference speed
deep branch,directly down-sampled input image,"For the deep branch, the input image is directly down-sampled to ensure high inference speed"
raf module,shallow and deep networks,Relation-aware feature (RAF) module is utilized to exploit the relationship between the shallow and deep networks
isdnet,wsdnet,"In this paper, WSDNet is proposed as the evolution of ISDNet"
dwt,iwt,Multi-level Discrete Wavelet Transform (DWT) and Inverse Discrete Wavelet Transform (IWT) are naturally integrated
discrete wavelet transform (dwt),inverse discrete wavelet transform (iwt),DWT and IWT are naturally integrated to release computation burden while preserving more spatial details in the deep branch.
discrete wavelet transform (dwt),raf,RAF can be removed for higher inference speed due to the integration of DWT and IWT.
discrete wavelet transform (dwt),wavelet smooth loss (wsl),DWT is utilized in conjunction with WSL for reconstructing original structured context and texture distribution in frequency domain with smooth constraint.
inverse discrete wavelet transform (iwt),raf,RAF can be removed for higher inference speed due to the integration of IWT and DWT.
inverse discrete wavelet transform (iwt),wavelet smooth loss (wsl),IWT is utilized in conjunction with WSL for reconstructing original structured context and texture distribution in frequency domain with smooth constraint.
wavelet smooth loss (wsl),original structured context and texture distribution,WSL is designed to reconstruct original structured context and texture distribution with smooth constrain in frequency domain.
urur dataset,uhr datasets,URUR dataset is introduced as a novel large-scale dataset that is superior to existing UHR datasets.
wsdnet,urur,"WSDNet is proposed to preserve more spatial details with multi-level DWT-IWT and Wavelet Smooth Loss, demonstrating the superiority of URUR dataset."
wsdnet,"state-of-the-art balance among accuracy, memory, and inference speed","WSDNet achieves state-of-the-art balance among accuracy, memory, and inference speed on UHR datasets."
deep learning,semantic segmentation,Deep learning has significantly advanced semantic segmentation.
semantic segmentation,fully convolutional networks (fcn),Most generic semantic segmentation models are based on FCN for improvement.
semantic segmentation,receptive field and fine-grained deep features,Semantic segmentation models rely on large receptive field and fine-grained deep features for performance enhancement.
semantic segmentation,graph modules,Some semantic segmentation models utilize graph modules for better results.
fcn,large receptive field,FCN relies on large receptive field for its working according to reference [18]
fcn,fine-grained deep features,FCN relies on fine-grained deep features for its working according to references [19–24]
fcn,graph modules,FCN relies on graph modules for its working according to references [25–29]
real-time segmentors,computation cost and performance,Real-time segmentors aim to balance computation cost and performance according to references [30–32]
bisenetv2,specially designed architectures and training strategies,BiseNetV2 achieved performance benefits from specially designed architectures and training strategies according to reference [31]
uhr semantic segmentation,presented methods,"Many methods have been presented for UHR semantic segmentation according to references [10–12, 35, 36]"
cascadepsp,pre-trained model,CascadePSP uses a pre-trained model to improve the coarse segmentation results according to reference [35]
glnet,global and local information,GLNet incorporates both global and local information in a two-stream branch manner according to reference [10]
fctl,squeeze-and-split structure,FCtL uses a squeeze-and-split structure to fuse multi-scale features information based on GLNet according to reference [11]
isdnet,shallow and deep networks,ISDNet processes full-scale and down-sampled inputs by integrating shallow and deep networks for higher inference speed according to reference [12]
urur dataset,superiority,The proposed URUR dataset is far superior to all other datasets
urur dataset,deepglobe,"The proposed URUR dataset is compared to existing UHR datasets like DeepGlobe in terms of quantity, context richness, and annotation quality."
urur dataset,inria aerial,"The proposed URUR dataset is compared to existing UHR datasets like Inria Aerial in terms of quantity, context richness, and annotation quality."
urur dataset,udd,"The proposed URUR dataset is compared to existing UHR datasets like UDD in terms of quantity, context richness, and annotation quality."
