node_1,node_2,edge
Kernelized Stein Discrepancy for Biological Sequences,KSD-B,abbreviated form of
KSD-B,divergence measure,is a type of
KSD-B,biological sequences,evaluated over
KSD-B,kernelized Stein discrepancy,based on
generative models,biological sequences,model
generative models,evaluation,requires
KSD-B,normalizing constant,can be evaluated without
KSD-B,variable length sequences,allows for
KSD-B,sequence distance,takes into account
KSD-B,convergence,detects
KSD-B,non-convergence,detects
KSD-B,efficient estimation,enables
KSD-B,state-of-the-art machine learning models,applied to measure fit of
generative biological sequence models,rigorous evaluation,enabled by KSD-B
generative models,protein design,applied in
generative models,phylogenetic analysis,applied in
Generative models of biological sequences,protein design,have application in
Generative models of biological sequences,phylogenetic analysis,have application in
Generative models of biological sequences,clinical human genetics,have application in
Generative models of biological sequences,epidemiology,have application in
Generative models of biological sequences,model evaluation,central challenge in working with
model evaluation,density estimates,concerns accuracy of
model evaluation,realistic sequences,concerns realism of
existing evaluation techniques,generative sequence models,do not provide absolute and reliable measure of fit for
log likelihood,generative sequence models,used to evaluate
log likelihood,model fit,"only addresses relative fit, not absolute"
model evaluation,goodness of fit test,is a type of
KSD-B,kernelized Stein discrepancy,is based on
KSD-B,biological sequences,applies to
KSD-B,goodness of fit test,enables
KSD-B,absolute measure,provides
generative model,distribution over sequences,produces
distribution over sequences,distribution of the data,compared to
KSD,distributions,compares
KSD,stochastic process,builds
stochastic process,kernel,uses
kernel,Euclidean space,studied over
evaluation strategy,draw sequences from the model,involves
draw sequences from the model,match the data,tests whether
generative model,poorly fit the data,may
