node_1,node_2,edge
monotonicity,model risk management,is used for
transparent machine learning models,monotonicity,achieve accountability and fairness through
individual monotonicity,pairwise monotonicity,is often overlooked compared to
weak pairwise monotonicity,strong pairwise monotonicity,are types of
monotonic groves of neural additive models,monotonicity,achieves
monotonic groves of neural additive models,transparency,maintains
monotonicity,accountability,ensures
monotonicity,fairness,ensures
Regulatory void,Regulations regarding artificial intelligence,filled by
Regulations regarding artificial intelligence,transparency,should consider
Regulations regarding artificial intelligence,accountability,should consider
Regulations regarding artificial intelligence,fairness,should consider
Transparent ML models,explanation of how it makes decisions,facilitates
Transparent ML models,conceptual soundness,does not guarantee
Transparent ML models,fairness,does not guarantee
Monotonicity,important indicators,is one of the most
Monotonic machine learning models,more reasonable and fair approach to ML,leads to
Monotonic machine learning models,individual monotonicity,focus on
Individual monotonicity,model is monotonic with a particular feature,means
individual monotonicity,model,is a property of
individual monotonicity,pairwise monotonicity,is insufficient compared to
pairwise monotonicity,different features,considers monotonicity between
pairwise monotonicity,transparent machine learning models,explored in context of
weak pairwise monotonicity,pairwise monotonicity,is a type of
strong pairwise monotonicity,pairwise monotonicity,is a type of
weak pairwise monotonicity,Chen & Ye (2022),introduced by
strong pairwise monotonicity,Gupta et al. (2020),introduced as monotonic dominance by
time,pairwise monotonicity,is a common cause of
severity,pairwise monotonicity,is a common cause of
time,recent information,implies that
credit scoring,pairwise monotonicity,example of application for
past due,credit score,affects negatively if recent
