node_1,node_2,edge
Federated Learning (FL),personalized FL,is a variant of
personalized FL,auxiliary global models,uses
personalized FL,distinct local models,learns and deploys
clients,local data distribution,have heterogeneous
clients,computation and communication resources,have heterogeneous
personalized models,lowest-resource clients,restricted by
pFedGate,efficient personalized FL,achieves
pFedGate,sparse local models,learns
pFedGate,trainable gating layer,uses
trainable gating layer,sparse models,generates
sparse models,heterogeneous data distributions,accounts for
sparse models,resource constraints,accounts for
model sparsity,clients’ resources,adapts to
pFedGate,computation efficiency,improves
pFedGate,communication efficiency,improves
pFedGate,superior complexity,has
pFedGate,guaranteed convergence,has
pFedGate,generalization,has
pFedGate,superior complexity,has
pFedGate,guaranteed convergence,has
pFedGate,generalization error,has
pFedGate,superior global accuracy,achieves
pFedGate,individual accuracy,achieves
pFedGate,efficiency,achieves
pFedGate,state-of-the-art methods,outperforms
pFedGate,novel clients participation scenario,performs better in
pFedGate,partial clients participation scenario,performs better in
pFedGate,meaningful sparse local models,learns
meaningful sparse local models,different data distributions,adapted to
Federated Learning (FL),machine learning scenarios,gains popularity in
Federated Learning (FL),distributed data,handles
Federated Learning (FL),privacy concerns,addresses
Typical FL,unique global model,trains
Typical FL,multiple data owners (clients),trains from
Typical FL,centralized server,uses
shared global model,promising average performance,shows
statistical heterogeneity among clients,global model,challenges existence and convergence of
average performance,statistical heterogeneity,challenges
statistical heterogeneity,global model,challenges existence and convergence
personalization,Federated Learning (FL),introduced into
personalization,distinct local models,learns and deploys
distinct local models,heterogeneous local data distribution,designed to fit
global model,personalized local models,relationship between
multi-task learning,global model and personalized local models,takes care of relationships
meta-learning,global model and personalized local models,takes care of relationships
model mixture,global model and personalized local models,takes care of relationships
knowledge distillation,global model and personalized local models,takes care of relationships
clustering,global model and personalized local models,takes care of relationships
heterogeneity among clients,local data distribution,exists in
heterogeneity among clients,computation and communication resources,exists in
lowest-resource clients,capacity and efficiency of personalized models,restricts
model architecture,all clients,assumed to be the same for aggregation compatibility
communication bandwidth and participation frequency,model training of other clients,determines contribution to
communication bandwidth and participation frequency,converged central point,determines speed to agree on
resource heterogeneity,most,under-explored in
