node_1,node_2,edge
Machine Learning Force Fields,molecular dynamics simulation,accelerates
Machine Learning Force Fields,chemical accuracy,requires hundreds of frames of force and energy labels to achieve
force and energy labels,quantum mechanical algorithms,generated by
quantum mechanical algorithms,data cost,"scales as O(n^3) to O(n^7), increasing cost"
ASTEROID,data cost,lowers
ASTEROID,cheap inaccurate data,leverages
ASTEROID,expensive accurate data,leverages
inaccurate data,bias,incurs large
inaccurate data,underlying force field,helps capture sophisticated structures of
ASTEROID,bias-aware loss function,employs to prevent overfitting
bias-aware loss function,inaccurate training data,applied to
ASTEROID,fine-tuning,uses with accurate data
fine-tuning,accurate training data,uses small amount of
fine-tuning,model accuracy,significantly improves
ASTEROID,score matching,has a variant based on
ASTEROID,training data,improves accuracy of model trained on
ASTEROID,score matching,has variant based on
ASTEROID,MD datasets,validated on
ASTEROID,downstream tasks,validated on
Molecular dynamics (MD) simulation,scientific discovery,drives
Molecular dynamics (MD) simulation,chemistry,key technology in
Molecular dynamics (MD) simulation,biophysics,key technology in
Molecular dynamics (MD) simulation,materials science,key technology in
Molecular dynamics (MD) simulation,macro statistics,estimates
macro statistics,folding probability of a protein,includes
macro statistics,density of new materials,includes
macro statistics,structure-driven drug design,essential for
macro statistics,battery development,essential for
MD simulation,iterative structure,shares
MD simulation,forces on each atom,calculates
MD simulation,iterative structure,has
MD simulation,forces,calculates
forces,molecule,move
MD simulation,Schrödinger equation,requires solving
Schrödinger equation,many-body systems,not feasible for
force calculation,Lennard-Jones potential,uses approximation method
force calculation,Density Functional Theory (DFT),uses approximation method
force calculation,Coupled Cluster Single-Double-Triple (CCSD(T)),uses approximation method
CCSD(T),gold-standard,is seen as
CCSD(T),computationally expensive,is
CCSD(T),complexity O(n^7),has
machine learning based force fields (MLFFs),MD simulations,accelerate
MLFFs,molecular configuration,takes as input
MLFFs,forces,predicts
deep learning techniques,force fields,developed for
deep learning techniques,large neural networks,parameterized by
