node_1,node_2,edge
Streaming Submodular Maximization,Differential Privacy,studied in the context of
Submodular function,private data of individuals,depends on
Streaming setting,objective function,constrains optimization of
Decomposable submodular functions,privacy and utility trade-offs,yields better
Submodular function,decomposable,can be written as sum of
Combinatorial Public Projects Problem,decomposable submodular functions,modeled by
Service provider,machine learning models,trains for users
Service provider,limited number of features,selects
Sagemaker,Microsoft Azure,are cloud platforms for machine learning
feature collection,service provider,costly for
mutual information,set of features,measures utility of
mutual information,Naive Bayes assumption,computed under
submodular functions,diminishing returns property,exhibit
submodular functions,mutual information,is an example of
marginal utility,element e,gain in utility provided by
set S,utility f(S),achieves
marginal utility,element e,is the gain in utility provided by
submodular function,diminishing returns property,has
submodular function,monotone function,is a type of
submodular maximization,combinatorial optimization,is a fundamental instance of
submodular maximization,Max-Cut,generalizes
submodular maximization,Facility Location,generalizes
submodular maximization,feature selection,applied to
submodular maximization,influence maximization,applied to
submodular maximization,document summarization,applied to
submodular maximization,result diversification,applied to
submodular maximization,exemplar based clustering,applied to
