node_1,node_2,edge
Link prediction,graph machine learning,is a core benchmark in
Link prediction,edge sampling procedure,introduces implicit bias toward high-degree nodes via
Implicit degree bias,link prediction,is a problem in
High-degree nodes,link prediction,are favored by implicit bias in
Degree-corrected link prediction,link prediction,is a proposed improvement over
Degree-corrected link prediction,recommendation tasks,aligns better with performance in
Null method,node degree,is based solely on
Null method,optimal performance,can nearly match
Overfitting to node degrees,graph machine-learning models,is reduced by degree-corrected benchmark in
Standardized benchmarks,machine learning,drive progress in
ImageNet,standardized benchmarks,is an example of
SQuAD,standardized benchmarks,is an example of
machine learning,competition,"fostered by setting clear, measurable goals"
graph machine learning,link prediction,core benchmark
link prediction,missing edges,involves identifying
link prediction,recommendations of friends and contents,has applications including
link prediction,knowledge discoveries,has applications including
link prediction,drug development,has applications including
link prediction benchmarks,quantitative evaluations,essential for
link prediction benchmarks,graph machine learning techniques,advancing
link prediction benchmark,effectiveness,rarely scrutinized for
link prediction benchmark,graph machine learning,plays a significant role in
link prediction benchmark,effectiveness,rarely scrutinized for
link prediction benchmark,reliability,rarely scrutinized for
link prediction benchmark,bias,rarely scrutinized for
link prediction benchmark,node pairs,evaluates methods by classifying
connected pairs (edges),hidden positive set,sampled as
unconnected node pairs,connected pairs,vastly outnumber
graph sparsity,biased performance evaluations,leads to
link prediction benchmark,real-world scenarios,disconnected from
link prediction benchmark,predefined set of edges,tests
real-world tasks,potential edges across the entire graph,involve identifying
high benchmark performance,successful learning,often seen as a marker of
standard link prediction benchmark,bias,has a fundamental and severe
bias,methods that exploit node degree,favors
