node_1,node_2,edge
No Dimensional Sampling Coresets,Classification,applied to
Coresets,Classification problems,used for
Sensitivity sampling framework,Coresets,constructs
Sensitivity score,Data points,assigned to
Coresets,Input data,subset of
Loss function,Classification,optimized in
Radamacher complexity,Sensitivity sampling approach,version of
Coresets,Scalability,improves
Coresets,Efficiency,improves
loss function ℓ,misclassification rate,is a smooth and convex approximation of
optimized loss function,observed data,is optimized over
classifier,new data,performs on
new data,distribution P,drawn iid from
probability distribution P,set X,defined over
parameter space W,potential models,is the space of
loss function ℓ,X × W,defined on
full loss function,w ∈ W,evaluated at
ε-coreset,distribution P,approximates
ε-coreset,set Y,is a finite subset
ε-coreset,measure ν,accompanied by
coreset algorithms,finite sample X,described with respect to
coreset,sensitivity sampling,created via
sensitivity score s(x),point x,assigned to
sample Y,ε-coreset,induces
total sensitivity S,sample size,proportional to
classification,non-increasing function ϕ,uses
"ℓϕ(x, w)","ϕ(⟨x, w⟩)",defined as
Logistic regression,ϕ(t) = log(1 + e−t),example of
non-increasing functions ϕ,ε-coresets,can lead to
regularization,coreset construction,introduces structure for
"ℓk,ϕ(x, w)","ϕ(⟨x, w⟩) + 1/2",defined as
