node_1,node_2,edge
Graph transformers,Positional encoding,distinguishing power is tied to
Absolute positional encodings (APEs),Graph transformers,used as input to
Relative positional encodings (RPEs),Graph transformers,used to augment attention block
Absolute positional encodings (APEs),Relative positional encodings (RPEs),are equivalent in distinguishing non-isomorphic graphs
APEs,RPEs,can be interchanged while maintaining distinguishing power
RPEs,APEs,may have advantage for graphs with node features
Shortest-path distance,RPEs,is a type of
Resistance distance,RPEs,is a type of
Stable and expressive positional encoding (SPE),RPEs,is a type of
shortest-path distance,positional encoding,is a type of
resistance distance,positional encoding,is a type of
stable and expressive positional encoding (SPE),positional encoding,is a type of
positional encoding,graph transformers,used in
graph transformers,message passing neural networks (MPNNs),competitor to
graph transformers,graph representation learning,used for
graph transformers,global information,captures
graph transformers,oversquashing,addresses
graph transformers,oversmoothing,addresses
attention mechanism,graph transformers,part of
MPNNs,oversmoothing,face the issue of
transformers,graph data,applied to
transformers,equivariant,are
graph transformers,positional encodings,focus on design of
positional encodings,Absolute positional encodings (APEs),include
positional encodings,Relative positional encodings (RPEs),include
Absolute positional encodings (APEs),graph structure,encode as embedding of vertices
Absolute positional encodings (APEs),Laplacian eigenvectors,example is
Absolute positional encodings (APEs),random walks,example is information about
Absolute positional encodings (APEs),learnable APEs,recent works propose
Relative positional encodings (RPEs),graph structure,encode as embedding of vertex pairs
Relative positional encodings (RPEs),modified attention mechanism,incorporated via
Relative positional encodings (RPEs),shortest-path distance,example is
Relative positional encodings (RPEs),resistance distance,example is
Relative positional encodings (RPEs),heat kernels,example is
Relative positional encodings (RPEs),adjacency matrix,can serve as
adjacency matrix as RPE,MPNNs,has same distinguishing power as
