node_1,node_2,edge
Sharpness Aware Minimization (SAM),eigenvalue regularization,provides
SAM,loss Hessian,controls large eigenvalues of
SAM,generalization benefits,provides
SAM,modified loss function,motivated by
modified loss function,sharp minima,penalizes
SAM,learning trajectory,regularizes eigenvalues throughout
SAM,edge of stability (EOS) phenomenon,dynamically induces stabilization related to
edge of stability (EOS) phenomenon,large learning rate gradient descent,observed in
theory,largest eigenvalue,predicts as function of learning rate and SAM radius
practical models,EOS stabilization,can exhibit
understanding SAM,dynamics far away from minima,must account for
curvature eigenvalues,loss landscape,are eigenvalues of
controlling curvature,generalization,leads to benefits for
sharpness aware minimization (SAM),curvature,regularizes during training
SAM,first-order method,is a tractable
SAM,loss Hessian,controls large eigenvalues of
SAM,optimization,improves
SAM,generalization,improves
SAM,modified loss function,is a first-order approximation of SGD on
modified loss function,sharp minima,penalizes over flatter ones
SAM,sharp minima,prefers
SAM,small batch sizes,works better with
SAM,gradient descent on ˜L,performs as well or better than
deterministic gradient flow dynamics on ˜L,SAM,does not capture key features of
small batch size,gradient flow on full batch objective,induces non-trivial differences from
first-order methods,curvature-controlling properties,have
finite step size,curvature-controlling properties,causes
largest Hessian eigenvalues,edge of stability (EOS),stabilize near
intermediate learning rates,edge of stability (EOS),lead to
EOS,largest eigenvalue for convergence,is
non-linear feedback,large eigenvalue and parameter changes,explains
SAM,modified EOS behavior,displays
modified EOS behavior,stabilization of largest eigenvalue,leads to
