node_1,node_2,edge
Simple linear attention language models,recall-throughput tradeoff,balance
attention-based language models,recall,excel at
attention-based models,efficiency,bottle-necked by KV-cache memory consumption
KV-cache,memory consumption,aggressive
language model efficiency,recall,tradeoff
model's state size,recall ability,tradeoff between
efficient alternatives to attention,fixed-size recurrent state,maintain
efficient alternatives to attention,recall,struggle at
BASED,linear attention,combines
BASED,sliding window attention,combines
BASED window size,linear attention feature dimension,vary to dial state size
BASED,Pareto frontier of recall-memory tradeoff,traverse
BASED,full quality of attention,recovers on one end
BASED,small state size of attention-alternatives,recovers on the other end
BASED,Mamba,matches in perplexity and outperforms
BASED,sub-quadratic models,matches in perplexity
BASED,Mamba,matches in perplexity
BASED,real-world recall-intensive tasks,outperforms by 10.36 accuracy points
BASED,IO-aware algorithms,enables throughput improvement
IO-aware algorithms,FlashAttention-2,provides 24× higher throughput on language generation
BASED,Pareto frontier,expands the throughput-recall tradeoff space
sequence mixer,language model,affects quality and efficiency
attention,recall,excels at
attention-based models,throughput,bottlenecked by quadratic compute complexity and memory consumption
language models,real-world speed,can be improved without compromising quality
language models,memory-use,can be improved without compromising quality
attention,perplexity,competes with in terms of throughput
gated-convolutions,attention,less efficient than at recall tasks
gated-convolutions,sequence length,complexity scales sub-quadratically with
attention,Mamba,improves over by 32.2 accuracy points on recall-intensive tasks
high-recall models,high-throughput models,tradeoff explored on Pareto frontier
generation throughput,memory consumption,bottlenecked by
recurrent state size,model dimension,affected by during generation
recall-memory tradeoff,architecture,holds across different
