node_1,node_2,edge
target time series,feature time series,linked by unknown non-parametric system dynamics
feature time series,sparse and irregular grid,measured on
target time series,few points,has access to only
dynamics,controlled differential equation (CDE),framed as learning the solution map of
controlled differential equation (CDE),signatures,leveraged via theory of
non-linear problem,high-dimensional linear regression,cast as
prediction error,individual-specific sampling schemes,exhibits explicit dependencies on
method,existing algorithms,outperforms for recovering full time series
method,computationally cheap,is
real-world epidemiological data,method,demonstrates potential on
target quantity,time,evolves through
target quantity,time-evolving features,affected by
pollution levels,temperature,driven by
pollution levels,pressure,driven by
pollution levels,traffic,driven by
pollution levels,economic activity,driven by
target quantity y_t,evolving features x_t,function of
dynamics,target quantity,link to features
interaction,differential equations,modelled via
function G,y_s,takes as input
function G,x_s,takes as input
function G,R^p × R^d,maps from
function G,R^p,maps to
function G,differential equation,defines the dynamics of the system via
y_t,x_s,depends on the trajectory of
solution map Ψ,differential equation,learns the dynamics of
solution map Ψ,y_t,outputs the value of
x,non-invasive measurements,represents
y,invasive measurement,represents
lactic acidosis (LA),fetal distress,is a proxy for
lactic acidosis (LA),biomarker,is a
healthcare,differential equation,provides applications for
