node_1,node_2,edge
Adaptive Estimation and Learning,Temporal Distribution Shift,studies the problem of estimation and learning under
Observation sequence,Time-varying groundtruth sequence,is a noisy realization of
Wavelet soft-thresholding estimator,Optimal estimation error bound,provides
Non-stationarity level,Sparsity in wavelet-transformed domain,is connected to
Wavelet soft-thresholding estimator,"Existing researches (Mazzetto and Upfal, 2023)",generalizes
Sparsity-aware excess risk bounds,Binary classification under distribution shift,derived for
Total-variation denoising,Wavelet soft-thresholding estimator,parallels drawn between
Total-variation denoising,Mammen and van de Geer (1997); Tibshirani (2014a),classical problem studied by
statistical estimation,independent and identically distributed (i.i.d.) observations,assumes access to
statistical estimation,relaxing assumptions,studied by relaxing
estimation task,independently drawn observations,given access to
observations,expected values,have
observations,finite variance,have
goal,estimate θ1,construct
estimation task,practical scenarios,related to
practical scenarios,estimating stock price,includes
practical scenarios,predicting temperature,includes
practical scenarios,predicting humidity,includes
practical scenarios,predicting network traffic,includes
algorithm,"estimates for θn,...,θ2",can be used to construct
reverse-indexing of time,notational convenience,used for
problem setting,"estimates for θn, . . . , θ2",used to construct
reverse-indexing of time,notational convenience,used for
estimator ˆθ1,statistical guarantees,requires
statistical guarantees,risk profile of a stock-picking strategy,used to calculate
stock-price estimator,risk profile of a stock-picking strategy,used for
point-wise performance guarantee,bound on |ˆθ1 − θ1|,is
point-wise bound,cumulative performance metrics,implies control over
cumulative performance metrics,mean squared error (MSE),includes
cumulative performance metrics,regret from online learning,includes
natural algorithm for estimating θ1,averaging most recent observations within a sliding window,is
small window size,small bias but large variance,leads to
large window size,variance reduction at the expense of introducing large bias,leads to
optimal bias-variance trade-off,sharp point-wise estimation error guarantee,required for
