node_1,node_2,edge
Maximum Independent Set (MIS),Combinatorial Optimization (CO),is a problem addressed by
Maximum Independent Set (MIS),Maximum Clique (MC),is equivalent to in the complement graph
Maximum Independent Set (MIS),quadratic formulation,is solved using
quadratic formulation,Maximum Clique (MC) term,incorporates
Maximum Independent Set (MIS),local minimizer,every maximal independent set corresponds to
objective,non-convexity,has
non-convexity,momentum-based gradient descent,is tackled by
momentum-based gradient descent,parallelized initializations,uses
pCQO-MIS,parallelized Clique-Informed Quadratic Optimization for MIS,is short for
pCQO-MIS,MIS checking criterion,includes
pCQO-MIS,data-centric methods,avoids reliance on labeled data compared to
distribution tuning,data-centric methods,required by
reliance on (un)labeled data,data-centric methods,required by
pCQO-MIS,MIS sizes,achieves superior
pCQO-MIS,run-time,has competitive
pCQO-MIS,inference time,relative to
pCQO-MIS,exact solvers,unlike
pCQO-MIS,heuristic solvers,unlike
pCQO-MIS run-time,number of nodes,scales with
pCQO-MIS run-time,number of edges,does not scale with
Combinatorial Optimization Problems (COPs),NP-hard complexity class,connected to
Richard Karp,reducibility,introduced concept of
reducibility,combinatorial problems,applies to
Maximum Independent Set (MIS),Maximum Clique (MC),direct reduction exists between
Maximum Independent Set (MIS),Minimum Vertex Cover (MVC),direct reduction exists between
Maximum Clique (MC),Minimum Vertex Cover (MVC),direct reduction exists between
MIS problem,Kidney Exchange Problem (KEP),no straightforward reduction
MIS problem,Traveling Salesman Problem (TSP),no straightforward reduction
MIS problem,combinatorial optimization,is a fundamental problem in
MIS problem,frequency assignment in wireless networks,has application in
MIS problem,task scheduling,has application in
MIS problem,genome sequencing,has application in
MIS problem,"graph G = (V, E)",involves finding a subset of vertices in
MIS problem,Integer Programming (IP) solvers,solved by
Integer Programming (IP) solvers,CPLEX,includes
Integer Programming (IP) solvers,Gurobi,includes
Integer Programming (IP) solvers,CP-SAT,includes
MIS problem,ReduMIS,solved by heuristic method
MIS problem,branch-and-bound-based global optimization methods,solved by
MIS problem,approximation algorithms,solved by
MIS problem,differentiable approaches,solved by
differentiable approaches,data-driven methods,falls into category
data-driven methods,neural network (NN),uses
