node_1,node_2,edge
Counting in Small Transformers,histogram task,analyzes
histogram task,counting items in sequences,defined as
transformer blocks,histogram task,tackle
predictive performance,vocabulary and embedding sizes,interplay with
predictive performance,token-mixing mechanisms,interplay with
predictive performance,feed-forward layer capacity,interplay with
relation-based counting,inventory-based counting,two theoretical counting strategies
counting strategies,learning regimes,define
functionality,attention layers,distributed between
functionality,feed-forward layers,distributed between
softmax,robustness,allows for
beginning-of-sequence tokens,robustness,allows for
embedding dimensions,robustness,impact when comparatively small
trained models,learning regimes,closely confirms
trained models,formation of strategies,confirms during training
basic task,aggregation and selection,requires only
basic task,minor design changes,significantly impacted by
Transformers,neural networks,are a type of
Transformers,large language models (LLMs),are key neural network behind
Transformers,diverse data types,process
diverse data types,"text, images, and video",includes
data types,sequences of tokens,represented as
Transformer block,attention mechanism,contains
Transformer block,multi-layer perceptron,contains
attention mechanism,tokens,mixes
multi-layer perceptron,nonlinear feature transformation,applies
nonlinear feature transformation,each token,applied identically to
Transformers,"original transformer model (Vaswani et al., 2017)",follows template of
scale,potential of transformers,key factor in unleashing
architectural components,model’s hypothesis space,contribute to
model’s hypothesis space,range of algorithms,defined as
histogram task,counting,consists of
histogram task,comparison and aggregation,requires
modern language models,histogram task,fail to solve robustly
primitive transformer blocks,architectural template,follow
