node_1,node_2,edge
Restoration-Degradation Beyond Linear Diffusions,DDIM-type Samplers,analyzed in the context of
deterministic samplers,diffusion generative modeling,used for
stochastic samplers,Girsanov’s theorem,analyzed using
deterministic sampling,probability flow ODE,one step along
restoration step,gradient ascent,runs
restoration step,conditional log-likelihood,maximizes
degradation step,forward process,runs
degradation step,noise,uses
denoising diffusion implicit models,non-linear forward processes,extended to
polynomial convergence bounds,samplers,developed for
diffusion models,generative modeling,framework for
forward process,corruption process,also known as
corrupting samples,noise,transforms into
corruption process,forward process,also known as
forward process,intermediate distributions,described by
intermediate distributions,qt,denoted as
diffusion models,forward process,learn to revert
diffusion models,score function,approximate
score function,gradient of the log-likelihood,is
score function,intermediate distributions qt,of
score function,reverse stochastic differential equation (SDE),used to run
reverse stochastic differential equation (SDE),forward process,associated with
discretization,SDE,of
discretization error,sampling drift,leads to
sampling drift,true reverse process,away from
approximation error,score estimation,comes from
starting distribution,error propagation,source of
error propagation,reverse SDE,in
reverse SDE,error propagation,controlled in
deterministic samplers,ODE processes,derived from
ODE processes,Fokker-Planck equations,satisfy
reverse SDE,Fokker-Planck equations,has same marginals as
DDIM,non-Markovian diffusion process,derived from
DDIM,probability flow ODE,equivalent up to reparametrization
DDIM samplers,restoration step,consists of
DDIM samplers,degradation step,consists of
DDIM,general linear diffusions,generalized to
stochastic samplers,image-generation,state-of-the-art for
stochastic samplers,large number of function evaluations,requires
