node_1,node_2,edge
Finetuning,Pretrained model,applied to
Finetuning,Target domain data,uses
Finetuning,Overfitting,causes
Finetuning,Forgetting,causes
Forgetting,Pretraining data,loss of knowledge from
Overfitting,Limited target data,caused by
Scaling laws,Forgetting,quantify
Scaling laws,Overfitting,quantify
Injecting pretraining data,Finetuning data mixture,added to
Injecting pretraining data,Forgetting,prevents
Injecting pretraining data,Overfitting,mitigates
Pretraining set,Large Language Models (LLMs),trained on
Pretraining set,General knowledge,provides
LLMs,general knowledge,credited with giving
LLMs,versatile applicability,credited with giving
user,generalist LLM,may not require
user,specialized models,may favor
specialized models,specific subset of tasks,work better on
finetuning,custom LLM,method to obtain
custom LLM,smaller target domain,performs well on
finetuning,next-token-prediction loss,optimization of
finetuning,target domain data,optimized on
optimization,pretrained reference model,starting point is
supervised finetuning framework,finetuning,encompassed by
target domain data,high-quality examples,consists of
LLM,high-quality examples,should imitate
finetuning,overfitting,runs into
target domain data,limited quantity,available in
limited quantity,large capacity of an LLM,compared to
model,overfit,will
parameters,base models’ parameters,can move far away from
moving far away,forgetting,may lead to
finetuning,forgetting,can lead to
forgetting,generic tasks performance,decreases during
pretraining data injection,forgetting,mitigates
pretraining data injection,finetuning data mixture,injected into
pretraining data,regularizer,serves as
pretraining data injection,overfitting,impacts
target loss,target dataset,measures performance on
pretraining loss,forgetting,measures
pretraining loss after finetuning,model scale,predicted from
pretraining loss after finetuning,amount of target data,predicted from
pretraining loss after finetuning,fraction of pretraining data injected,predicted from
scaling law,pretraining loss after finetuning,predicts
