node_1,node_2,edge
[21],1,#579fdb
additional motion information such as optical flow,2,#db5794
amc-net,4,#57db8d
appearance and motion information,2,#db5794
appearance information,2,#db5794
background guidance slot,7,#57dbd2
baseline encoder features,2,#db5794
better foreground–background separation,8,#dba457
bg,4,#57db8d
breakdance sequence,4,#57db8d
capability of consistent feature extraction with extreme scale changes,4,#57db8d
challenging datasets,4,#57db8d
challenging scenes,8,#dba457
cmrgb,10,#66db57
complex background situations,4,#57db8d
computer vision,8,#dba457
davis-16,4,#57db8d
davis-16 dataset,4,#57db8d
differ-feature information,5,#db57b7
encoded target frame image feature,5,#db57b7
existing slot attention method,2,#db5794
explicit target supervision,2,#db5794
external guidance or the initial frame mask,2,#db5794
extracted local feature block pl and global feature block pg,1,#579fdb
extreme scale changes of the objects,4,#57db8d
fat,5,#db57b7
fbms,4,#57db8d
feature aggregation transformer,8,#dba457
feature space,5,#db57b7
fg,4,#57db8d
foreground,6,#db5f57
foreground and background slots,8,#dba457
foreground guidance slot,7,#57dbd2
fsnet,4,#57db8d
global and local features,5,#db57b7
global extractor,14,#9857db
global weighted average pooling (gwap),1,#579fdb
gs,4,#57db8d
gsa,7,#57dbd2
gsa-net,15,#dbc657
gsa-net mechanism,13,#57c2db
gsa-net model,4,#57db8d
guided slot attention network,8,#dba457
guided slots,7,#57dbd2
hfan,4,#57db8d
hfan [19],15,#dbc657
initial frame,2,#db5794
input image features,16,#57db6a
input rgb image,2,#db5794
iteratively attended slots,5,#db57b7
k-nearest neighbors filtering,8,#dba457
knn,4,#57db8d
knn filtering,5,#db57b7
"l(x,y)",17,#db57d9
li et al.,5,#db57b7
local extractor,7,#57dbd2
local feature block pl,9,#575adb
local features extractor,7,#57dbd2
matnet,4,#57db8d
merged features,5,#db57b7
mi(cid:1),1,#579fdb
mit-b2,15,#dbc657
most conventional unsupervised vos methods,15,#dbc657
motion cues,2,#db5794
motocross-jump sequence,4,#57db8d
ms,7,#57dbd2
multi-head attachment,5,#db57b7
nearest features,3,#abdb57
nr,1,#579fdb
number of testing time iterations,19,#57dbaf
optical flow,2,#db5794
optical flow encoder stream,4,#57db8d
performance comparison with gsa-net and tmo,4,#57db8d
pgl,20,#577ddb
pl,22,#88db57
pl and pg,1,#579fdb
plv,23,#bb57db
pmn,4,#57db8d
pns,20,#577ddb
proposed guided slot attention,2,#db5794
proposed knn filtering,21,#7657db
proposed model,5,#db57b7
ps,7,#57dbd2
query guidance,8,#dba457
rcl×h×w,1,#579fdb
recurrent slot-attention encoder,5,#db57b7
rennet101,15,#dbc657
rgb appearance information,2,#db5794
rgb encoder stream,4,#57db8d
rgb image stream,5,#db57b7
robustness in complex background situations,4,#57db8d
rtnet,4,#57db8d
scene structures,2,#db5794
segmentation,4,#57db8d
semi-supervised approaches,8,#dba457
semi-supervised vos,2,#db5794
single-scale testing,15,#dbc657
slot activation map,2,#db5794
slot attention,2,#db5794
slot attention mechanism,2,#db5794
slot attention-based classifier,5,#db57b7
slot attention-based image segmentation methods,11,#db5771
slot decoder,12,#cedb57
slot generator,7,#57dbd2
slots,5,#db57b7
ss and xl,1,#579fdb
state-of-the-art performance,8,#dba457
"sthe structure of the global extractor, as shown in fig-ure 3 (c)",1,#579fdb
target frame feature,5,#db57b7
target frame image,5,#db57b7
target object,2,#db5794
tmo,4,#57db8d
transportnet,4,#57db8d
two popular datasets,8,#dba457
unsupervised approaches,8,#dba457
unsupervised video object segmentation,4,#57db8d
unsupervised vos,2,#db5794
video object segmentation,8,#dba457
video panoptic retriever,5,#db57b7
vos,2,#db5794
vos tasks,8,#dba457
xs,7,#57dbd2
xt,7,#57dbd2
y,18,#db8157
zhou et al.,5,#db57b7
zoran et al.,5,#db57b7
"xl, pa, and psr",10,#66db57
attentive pooling,5,#db57b7
robust mask accuracy,5,#db57b7
background,6,#db5f57
soft object regions for the scene,14,#9857db
existing simple multi-head attention operations,13,#57c2db
complex backgrounds and multiple similar objects,7,#57dbd2
stored individual information of object and background in each slot,16,#57db6a
effectively extract generalized features for multi-objects through slot attention.,5,#db57b7
"xl(x,y)",17,#db57d9
clustering masks at the feature level,7,#57dbd2
feature-level k-means clustering,7,#57dbd2
cl,9,#575adb
aggregated features,3,#abdb57
performance improvements up to three iterations,19,#57dbaf
pa,20,#577ddb
pgintra,22,#88db57
pgk,23,#bb57db
performance improvements across all evaluation metrics,21,#7657db
complex real-world scenes,11,#db5771
cosine similarity,12,#cedb57
"mimil(x,y)",18,#db8157
