node_1,node_2,edge
Model-agnostic Measure of Generalization Difficulty,generalization difficulty,measures
inductive bias complexity measure,generalization difficulty,quantifies
inductive bias complexity measure,information required to generalize,quantifies
information required to generalize,information provided by the data,minus
generalization difficulty,fractional volume occupied by hypotheses,measured by
fractional volume occupied by hypotheses,hypotheses that generalize,of
hypotheses that generalize,training data,fit
generalization difficulty,intrinsic dimensionality,scales exponentially with
generalization difficulty,resolution per dimension,scales polynomially in
tasks requiring many dimensions,tasks involving more detail in fewer dimensions,are drastically more difficult than
measure,supervised learning,can be applied to
measure,reinforcement learning,can be applied to
measure,meta-learning,can be applied to
measure,generalization difficulties,compares
MNIST,required inductive bias,has less
MNIST,CIFAR10,requires less inductive bias than
CIFAR10,Imagenet,requires less inductive bias than
fully observable Markov decision processes (MDPs),partially observable MDPs,requires less inductive bias than
classification of complex images,few-shot meta-learning with simple images,requires less inductive bias than
inductive bias,generalization difficulty,is a measure of
benchmarks,generalization abilities,test
more complex benchmarks,more sophisticated learning algorithms and architectures,promote development of
Generalization,Training data,requires
Generalization,Inductive biases,requires
Inductive biases,Model class,constraints on
Inductive biases,Model designer,provided by
Inductive biases,Architecture,includes
Inductive biases,Learning rule,includes
Inductive biases,Hyperparameters,includes
Sample complexity,Training data,quantifies needed
Inductive bias complexity,Inductive biases,measures information content of
Inductive bias complexity,Training set,property inherent to
Sample complexity,Model class,property inherent to
Inductive bias complexity,Hypothesis space,quantifies fraction consistent with
Inductive bias complexity,Generalization difficulty,assesses
