node_1,node_2,edge
LeaPformer,Linear Transformers,is a type of
LeaPformer,Learned Proportions (LeaP),built on
Learned Proportions (LeaP),position-based re-weighting functions,generalizes
position-based re-weighting functions,target sequence lengths,depends on
LeaPformer,autoregressive tasks,enables application to
LeaPformer,simultaneous tasks,enables application to
Learned Proportions (LeaP),sequence proportions,uses for re-weighting
Learned Proportions (LeaP),dynamic proportions,derives via compact module
LeaPformer,Long-Range Arena benchmark,evaluated on
LeaPformer,Wikitext-103,evaluated on
LeaPformer,simultaneous speech-to-text translation,evaluated on
Transformers,natural language processing (NLP),dominant in solution space
Transformers,large language models (LLMs),class of models studied with advent of
Transformers,attention mechanisms,have quadratic complexity
attention mechanisms,sequence length,quadratic complexity limits
LeaPformer,baselines,contrasts accuracy-throughput trade-offs
LeaPformer,Long-Range Arena benchmark,evaluated on five tasks
LeaPformer,parameter count,up to 1.5% increase
classical transformers,efficient attention mechanisms,area of improvement for
softmax attention,quadratic run-time and memory complexity,has prohibitive
efficient transformer variants,sub-quadratic attention mechanisms,includes
efficient transformer variants,linear attention mechanisms,includes
linear transformers,performance degradation,exhibits when generalized
re-weighting functions,linear transformers,formalized to address issue in
re-weighting functions,attention scores,serves to concentrate
position-based re-weighting functions,explicit token positions and sequence lengths,relies on
re-weighting functions,autoregressive tasks,difficult to apply to
LeaPformer,linear transformers,enables via learned proportions
