node_1,node_2,edge
Adam optimizer,Follow-the-Regularized-Leader (FTRL),corresponds to
Adam optimizer,online learning of updates/increments,is analyzed via
online learning of updates/increments,online learner,chooses updates based on
design of a good optimizer,design of a good online learner,reduced to
Adam optimizer,algorithmic components,has
SGD,Adam optimizer,is less adaptive than
Cutkosky et al. (2023),online learning of updates/increments,inspired
w0,wt+1,recursively updates to
wt+1,wt,equals wt plus increment ∆t
∆t,update/increment,denotes
∆t,past stochastic gradients g1:t,chosen based on
stochastic gradient descent (SGD),∆t,chooses ∆t = -αt gt
Adam optimizer,∆t,chooses ∆t per coordinate using g1:t
Adam optimizer,Transformer-based neural network models,effective for training
learning rate γt,Adam optimizer,used in
"discounting factors β1, β2",Adam optimizer,used in
Adam optimizer,SGD,compared to
Adam optimizer,past gradients g1:t,aggregates
Adam optimizer,momentum,includes as core element
Adam optimizer,"discounting factors β1, β2",includes as core element
momentum,"discounting factors β1, β2",related via aggregation of past gradients
Adam optimizer,convergence rate,theoretical focus on
convergence rate,convex functions,characterized for
convergence rate,smooth nonconvex functions,characterized for
SGD,minimax optimal convergence rate,achieves
Adam optimizer,scaled learning rate αt,defined as
scaled learning rate αt,"γt, β1, β2",depends on
