node_1,node_2,edge
min-max problems,ρ-cohypomonotonicity,satisfies
min-max problems,ρ-weakly Minty Variational Inequality (MVI),admits a solution to
ρ-cohypomonotonicity,nonconvexity,corresponds to degree of
ρ-weakly Minty Variational Inequality (MVI),nonconvexity,corresponds to degree of
first-order methods,ρ,tolerate value no larger than 1/L
ρ,1/L,upper bound
conic nonexpansiveness property,operators,property of
inexact Halpern iteration,convergence analyses,improves via refined analysis
inexact Krasnosel’ski˘ı-Mann iteration,multilevel Monte Carlo estimator,uses
stochasticity,min-max problems,characteristic of
structured nonconvexity,min-max problems,characteristic of
convex-concave min-max problems,min-max problem,is a type of
stochastic inexact Krasnosel’ski˘ı-Mann iteration,multilevel Monte Carlo estimator,uses
min-max problem,nonconvex-nonconcave,can be
nonconvex-nonconcave,machine learning,is relevant in
generative adversarial networks,machine learning,is an application in
adversarial ML,machine learning,is an application in
nonconvex-nonconcave problem,hardness results,has documented
algorithms,nonconvex-nonconcave problem,are derived for special cases of
nonmonotone inclusion problem,generalized problem (1),generalizes
nonmonotone inclusion problem,F + G,defined by operator sum
F,L-Lipschitz,is
G,maximally monotone,is
problem (1),stationary points,finding
nonconvex-nonconcavity,nonmonotonicity,causes
F + G,ρ-cohypomonotone,is assumed to be
ρ-cohypomonotonicity,definition (3),defined by
weak MVI condition,ρ-star-cohypomonotonicity,also called
weak MVI condition,solution x⋆,requires existence of
ρ-weakly MVI,inequality (4),defined by
