node_1,node_2,edge
Parsimonious Learning-Augmented Approximations,Dense Instances of NP-hard Problems,applies to
Arora et al. (1999),polynomial time 1 − ε approximation algorithm,provides
polynomial time 1 − ε approximation algorithm,dense instances of NP-hard problems,solves
MAX-CUT,dense instances of NP-hard problems,is an example of
MAX-k-SAT,dense instances of NP-hard problems,is an example of
learning augmented framework,one-bit predictions,uses a logarithmic number of
learning augmented framework,fast algorithms,aims to find
fast algorithms,approximation consistency,guarantees
fast algorithms,smoothness,guarantees
fast algorithms,robustness with respect to prediction error,guarantees
ML predictors,unknown based on past data,learns to predict
ML predictions,worst-case computational limitations,overcomes
learning-augmented algorithms,possibly erroneous predictor,uses
learning-augmented algorithms,worst case performance guarantees,provides
learning-augmented algorithms,worst case performance guarantees,provides
learning-augmented algorithms,algorithms with predictions,also known as
formal framework,learning-augmented algorithms,presented for
Lykouris and Vassilvitskii,formal framework,presented
caching problem,formal framework,studied in
learning-augmented algorithms,consistency,objective is to be
learning-augmented algorithms,smoothness,objective is to be
learning-augmented algorithms,robustness,objective is to be
consistency,best possible performance,close to when prediction is perfect
smoothness,quality of solution,degrades smoothly with prediction error
robustness,best worst-case algorithm,performance remains close to
robustness,bad prediction,maintains performance even with
learning-augmented algorithms,online algorithms,applied to
online algorithms,future input,not aware of
scheduling,online algorithms,example of
metrical task systems,online algorithms,example of
scheduling,predictions,uses predictions
metrical task systems,predictions,uses predictions
online facility location,predictions,uses predictions
online routing problems,predictions,uses predictions
Bellman-Ford algorithm,shortest path problem,solves
predictions,Bellman-Ford algorithm,speed up
warm-start predicted solutions,computing matchings,used to design faster algorithm
predictions,sorting,speed up
clustering,predictions,uses predictions with error rate bound
Ergun et al.,clustering algorithm,presented
learning-augmented algorithms,small number of predictions,uses
online caching problem,bounded number of predictions,solved using
paging problem,minimum amount of predictions,solved using
algorithms,amount of predictions used,take into account
prediction request,cost,penalized by
finite budget,predictions,given for
