node_1,node_2,edge
D-Flow,controlled generation,framework for
D-Flow,Diffusion and Flow-Matching (FM) models,differentiates through the flow of
D-Flow,source (noise) point,optimizes for
Diffusion and Flow-Matching (FM) models,Gaussian probability paths,trained with
differentiating through the generation process,data manifold,projects gradient on
controlled generation,inverse problems,includes
controlled generation,conditional generation,includes
controlled generation,sample editing,includes
D-Flow,image and audio inverse problems,validated on
D-Flow,conditional molecule generation,validated on
controlled generation,diffusion/flow generative models,is a focus of
diffusion/flow generative models,state-of-the-art generative approaches,are
controlled generation,conditional training,has approach
controlled generation,training-free approaches,has approach
conditional training,task specific training,requires
training-free approaches,pre-trained model,modifies generation process of
training-free approaches,additional guidance,adds
additional guidance,strong assumptions,built upon
strong assumptions,errors in generation,can lead to
controlled generation,optimization problem,framed as
controlled generation,differentiable cost,requires
this paper,third class,belongs to
this paper,framework for adding controlled generation,introduces
framework,pre-trained Diffusion or Flow-Matching model,adds controlled generation to
framework,differentiation through the ODE sampling process,based on
Diffusion/FM models,standard Gaussian probability paths,trained with
differentiating an arbitrary loss L(x),initial point x0,with respect to
differentiating an arbitrary loss L(x),gradient ∇xL onto the data manifold,projects
data manifold,major data directions at x,defined as
algorithm,minimizing an arbitrary cost function L(x),advocates
cost function L(x),desired control,represents
source noise point x0,generated x,used to generate
