node_1,node_2,edge
differential privacy,robustness to adversarial data corruptions,conceptually similar
private algorithms,robustness,satisfy
robust algorithms,private ones,converted to
black-box transformation,adversarially robust algorithm,converts to pure differential privacy
transformation,optimal robust estimator,applied to obtain optimal private estimator
low-dimensional estimation task,optimal error rate for ε-differentially private estimators,same as optimal error rate for robust estimators
optimal error rate for ε-differentially private estimators,optimal error rate for estimators robust to adversarially corrupting 1/ε training samples,essentially the same
transformation,new optimal private estimators,obtains
new optimal private estimators,Gaussian (sparse) linear regression and PCA,applied to
extension of transformation,approximate differentially private algorithms,leads to
Differential privacy,robustness,both are desirable properties for machine learning or statistical algorithms
Differential privacy,algorithm,ensures individual privacy guarantee
Differential privacy,"Dwork, McSherry, Nissim, and Smith",proposed by
Differential privacy,industry applications,widely deployed in
Differential privacy,government applications,widely deployed in
PCA,differential privacy,related to extension leading to approximate differentially private algorithms
approximate differentially private algorithms,pure differential privacy,"error does not depend on range of output space, which is impossible under"
Differential Privacy (DP),Algorithm output,limits information leakage about individuals
Differential Privacy (DP),Dataset S,applies to distributions over datasets differing by one entry
ε-DP,Privacy guarantee,becomes stronger as ε becomes smaller
Robustness,Algorithm,formalizes performance under data corruptions or model misspecifications
Robustness,Dataset S',allows τ fraction of entries to differ from original dataset S
τ-robust algorithm,Robustness guarantee,becomes stronger as τ becomes larger
Differential Privacy (DP),Robustness,both are notions of insensitivity to small input changes
Dwork and Lei (2009),Similarity between DP and robustness,first observed this connection
Differential Privacy (DP),Robustness,DP is a more stringent requirement than robustness
