node_1,node_2,edge
Latent variable models,parameter estimation,are used for
Latent variable models,gradient-based algorithms,can be estimated by
Latent variable models,EM-type algorithms,can be estimated by
Efficient preconditioned stochastic gradient descent,parameter estimation,is an alternative method for
Efficient preconditioned stochastic gradient descent,preconditioning step,includes
preconditioning step,Fisher information matrix estimate,based on
Fisher information matrix estimate,positive definite,is
Efficient preconditioned stochastic gradient descent,convergence results,proves
convergence results,mild assumptions,under
Efficient preconditioned stochastic gradient descent,latent variable models,applies to
nonlinear mixed effects model,Efficient preconditioned stochastic gradient descent,is illustrated in
stochastic block model,Efficient preconditioned stochastic gradient descent,is illustrated in
latent variable models,unobserved variables,requires
mixture models,unknown group structure in a population,describes
stochastic block models,unknown group structure in an interaction network,describes
mixed-effects models,inter-individual variability,describes
latent variable models,complex inference,leads to
latent variable models,observed likelihood without explicit form,results in
latent variable models,numerical methods for parameter estimation,requires
numerical methods for parameter estimation,EM algorithm,includes
EM algorithm,parameter estimation,used for
EM algorithm,latent variable models,applied to
Stochastic Approximation EM (SAEM) algorithm,EM algorithm,variant of
Variational EM (VEM) algorithm,EM algorithm,variant of
gradient-based methods,parameter estimation,used for
stochastic gradient descent,gradient-based methods,type of
stochastic gradient descent,latent variable models,developed for
EM-type algorithms,curved exponential models,popular for ease of implementation in
EM-type algorithms,general latent variable models,can be applied to
exponentialization trick,EM-type algorithms,suggested to extend applicability of
exponentialization trick,curved exponential family,performs inference in extended model belonging to
exponentialization trick,limitations in practice,has
EM-type algorithms,convergence,theoretical properties studied
