node_1,node_2,edge
Artificial Intelligence (AI),large language models (LLMs),includes
large language models (LLMs),Artificial General Intelligence (AGI),associated with spurious claims of
latent embeddings,external variables,correlated with
correlation of representations,human-like intelligence,mistakenly linked to
models of varying complexity,random projections,includes
models of varying complexity,matrix decompositions,includes
models of varying complexity,deep autoencoders,includes
models of varying complexity,transformers,includes
models of varying complexity,distill information,successfully
distill information,predict latent or external variables,used to
finding of meaningful patterns in latent spaces,evidence in favor of AGI,cannot be seen as
humans,seek patterns and anthropomorphize,prone to
methodological setup and common public image of AI,misinterpretation,ideal for
misinterpretation,model’s understanding of underlying,caused by
model representations,variables of interest,correlated with
model representations,ground truth relationships,caused by understanding of
academic community,academic integrity,should be aware of principles of
academic community,AI research outcomes,interprets and communicates about
Robert K. Merton,institutional imperatives,formulated
institutional imperatives,ethos of modern science,comprising
universalism,claims entering the lists of science,acceptance or rejection should not depend on personal or social attributes
communism,scientific findings,common ownership of
communism,findings,should communicate rather than keep secret
disinterestedness,scientific integrity,upheld by not having self-interested motivations
organized skepticism,scientific contribution,judgment should be suspended until detached scrutiny
organized skepticism,scientific contribution,requires judgment to be suspended until detached scrutiny is performed
organized skepticism,institutionally accepted criteria,scrutiny is performed according to
Mertonian norms,organized skepticism,include
Mertonian norms,academia,implicitly subscribed to by
double-blind peer reviewing,academic scrutiny,is an example of
open science reforms,academic scrutiny,are motivations behind
AI and machine learning fields,preprints,actively adopt early sharing of
AI and machine learning fields,code,actively adopt early sharing of
volume of publishable work,AI and machine learning fields,has exploded in
social media influencers,article discovery,play a role in
social media influencers,citeability,play a role in
commercial stakes,AI and machine learning technology,are associated with
pressure to beat competitors,AI and machine learning fields,is increasing in
ChatGPT,LLMs,is an example of
AI,human cognition,used to be a computational modeling tool to understand
