node_1,node_2,edge
MultiDiffusion,diffusion models,is a framework that uses pre-trained text-to-image diffusion models
MultiDiffusion,controlled image generation,enables versatile and controllable image generation
MultiDiffusion,optimization task,based on an optimization task that binds multiple diffusion generation processes
MultiDiffusion,user-provided controls,generates images that adhere to user-provided controls
diffusion models,text-to-image generation,are used for text-to-image generation
user-provided controls,desired aspect ratio,"includes desired aspect ratio (e.g., panorama)"
user-provided controls,spatial guiding signals,includes spatial guiding signals like segmentation masks and bounding boxes
MultiDiffusion,pre-trained text-to-image diffusion model,uses a pre-trained text-to-image diffusion model without further training
diffusion models,high-quality and diverse images,generate
diffusion models,text prompts,generate images from
diffusion models,state-of-the-art,are established as
text-to-image models,real-world applications,deploying to is challenging
controllability,diffusion models,achieved over
training a model from scratch,controllability,is one way to achieve
finetuning a given diffusion model,controllability,is another way to achieve
training a model from scratch,extensive compute,requires
finetuning a given diffusion model,extensive compute,often requires
reuse a pre-trained model,controlled generation capability,adds
MultiDiffusion,controlled image generation,is a unified framework for
MultiDiffusion,reference diffusion model,adapts
reference diffusion model,denoising sampling step,predicts
MultiDiffusion,global denoising sampling step,reconciles via least squares optimal solution
reference diffusion model,different regions,applied to
MultiDiffusion,shared parameters or constraints,binds generation processes with
MultiDiffusion,arbitrary aspect ratio,generates images at
reference diffusion model,square images,trained on
MultiDiffusion,square crops,fuses denoising directions from
nearby crops,common pixels,share
