node_1,node_2,edge
Large language models (LLMs),in-context learning (ICL),demonstrate capability for
in-context learning (ICL),classification,performs tasks in
in-context learning (ICL),language completion,performs tasks in
Sequence to sequence (Seq2Seq),in-context learning (ICL),seeks quick adaptation with
LLMs,Seq2Seq tasks,analyzed for ICL capability on
ICL,short input sequences,fails for sequences longer than
ICL,alignment between input and output sequences,fails to uncover
incomplete induction heads,in-context learning of new discrete mappings,form the basis for
ICA-Tune,LLM,fine-tunes using in-context examples
ICA-Tune,alignment,enables emergence of
alignment,middle layers of an LLM,emerges in
alignment,completeness of induction heads,leads to abrupt jump in
ICA-Tune,standard fine-tuning,compared to
ICA-Tune,sample efficient learning,enables more
ICA-Tune,OOD instances,generalizes better to
In Context Learning (ICL),Large Language Models (LLMs),capability of
In Context Learning (ICL),induction circuits,arises by formation of
induction circuits,layers,requires at least two
ICA-Tune,standard fine-tuning,compared to
ICA-Tune,sample efficient learning,enables more
ICA-Tune,OOD instances,generalizes better to
label position i,previous xi,copies over as a key
test input x*,query,used as
query,label yi,copies over
matching key xi,label yi,associated with
in-context learning (ICL),unseen sequence to sequence tasks,investigates effectiveness on
input x,"sequence x1, ..., xm of tokens",is
output y,"sequence y1, ..., yn of tokens",is
ICL for Seq2Seq,semantic parsing for custom APIs,useful for
ICL for Seq2Seq,translation from or to rare languages,useful for
ICL for Seq2Seq,Text2SQL generation for new private enterprise schema,useful for
synthetic generator,real languages,inspired by
probabilistic context free grammar,x,generates
alignment function,P(y|x),samples
alignment function,classical models used in lexical translation,inspired from
probabilistic finite state automata,P(y|x),used to sample
pre-trained open-source LLMs,ICL capabilities,evaluated for
