node_1,node_2,edge
Ske2Grid,skeleton-based action recognition,framework for improved
Ske2Grid,grid representation,defines regular convolution operation upon
grid representation,human skeleton,compact image-like grid patch of
graph-node index transform (GIT),grid patch,constructs through assigning skeleton graph nodes to grid cells
up-sampling transform (UPT),grid representation,learned to interpolate skeleton graph nodes for filling grid patch
UPT,GIT,ensures bijection and enriches expressiveness
progressive learning strategy (PLS),UPT,decouples into multiple steps
PLS,GIT,aligns multiple UPT steps to multiple paired GITs
Ske2Grid,graph convolution networks,constructs networks upon
Ske2Grid,existing GCN-based solutions,significantly outperforms
Ske2Grid,GCN-based solutions,outperforms
Ske2Grid,regular grid patch,constructs
Ske2Grid,up-sampling transform (UPT),uses
Ske2Grid,graph-node index transform (GIT),uses
regular grid patch,skeleton representation,used for
convolution operation,grid patch,operates on
graph convolution,neighboring nodes,convolves with
Ske2Grid,action feature modeling,achieves learnable receptive field for
skeleton-based action recognition,3D motion capturing systems,benefits from
skeleton-based action recognition,2D/3D pose estimation algorithms,benefits from
skeleton-based action recognition,discriminative skeleton feature interactions,depends on
discriminative skeleton feature interactions,active coordinated human joints,modeled among
Traditional methods,hand-crafted features,focus on designing
hand-crafted features,spatial structure,model
hand-crafted features,temporal dynamics,model
Traditional methods,well-designed classifiers,use
Early deep learning based methods,skeletons in videos,consider as
skeletons in videos,temporal vector sequences,considered as
Early deep learning based methods,deep recurrent networks,use
deep recurrent networks,RNN,such as
deep recurrent networks,LSTM,such as
deep recurrent networks,skeleton dynamics,model
convolutional neural networks (CNNs),graph convolution networks (GCNs),become mainstream learning models
convolutional neural networks (CNNs),skeleton-based action recognition,used in
graph convolution networks (GCNs),skeleton-based action recognition,used in
CNN-based methods,skeleton,convert to image-like input
