node_1,node_2,edge
BounDr.E,drug-likeness prediction,is a method for
BounDr.E,biomedical knowledge alignment,enriches chemical space through
BounDr.E,one-class boundary optimization,uses dynamic approach of
BounDr.E,Expectation-Maximization (EM)-like process,iteratively tightens drug-like boundary via
drug-likeness,approved drugs,modeled as compact space surrounding
BounDr.E,F1-score improvement,achieves 10% over previous state-of-the-art
BounDr.E,zero-shot toxic compound filtering,demonstrates robust performance in
generative AI,de novo design of molecules,enables large-scale
drug-likeness prediction,negative sets,often relies on ambiguous
drug-likeness prediction,structural features,often relies on purely
deep generative models,drug discovery,reshape the landscape of
deep generative models,de novo compounds,produce vast libraries of
drug-likeness,drug candidates,defines viability of
Rule of five,drug-likeness,offers preliminary screening for
generative AI,drug-likeness,requires data-driven definition of
drug-likeness,chemical space,defined in terms of
generative AI,drug-likeness,requires a data-driven approach for defining
drug-likeness,chemical space,defined in terms of
drug approval,structural validity,depends on more than
drug candidate,physicochemical properties,must exhibit favorable
drug candidate,biomedical context,must align with
biomedical context,biological target interactions,includes
biomedical context,disease pathway modulation,includes
existing predictive models,structural features,depend heavily on
approved drugs,chemical space,are highly scattered in
approved drugs,core scaffold,fewer than two typically share the same
dispersion of approved drugs,compact decision boundary,makes it challenging to define
defining decision boundary,absence of definitive negatives,poses challenge due to
defining decision boundary,vast scale of chemical space,poses challenge due to
chemical space,10^60 compounds,estimated to be up to
supervised approaches,non-drug molecules,treat as hard negatives
supervised approaches,decision boundary,tend to over-restrict
unsupervised methods,decision boundary,often become too broad
positive-unlabeled (PU) learning methods,well-defined negatives,assume
