node_1,node_2,edge
Orthogonal convolutional layers,machine learning,are valuable components in
Orthogonal convolutional layers,adversarial robustness,contribute to
Orthogonal convolutional layers,normalizing flows,contribute to
Orthogonal convolutional layers,GANs,contribute to
Orthogonal convolutional layers,Lipschitz-constrained models,contribute to
Orthogonal convolutional layers,norm preservation,enables
Orthogonal convolutional layers,stable gradient propagation,ensures
deployment of orthogonal convolution,large-scale applications,is challenging due to
deployment of orthogonal convolution,computational overhead,faces
deployment of orthogonal convolution,limited support for modern features,faces
modern features,strides,includes
modern features,dilations,includes
modern features,group convolutions,includes
modern features,transposed convolutions,includes
AOC (Adaptive Orthogonal Convolution),scalable method,is a
AOC (Adaptive Orthogonal Convolution),"work of (Li et al., 2019)",extends
AOC (Adaptive Orthogonal Convolution),limitations in construction of orthogonal convolutions,overcomes
AOC (Adaptive Orthogonal Convolution),construction of architectures previously considered impractical,unlocks
AOC (Adaptive Orthogonal Convolution),expressive models,produces
expressive models,efficiency as they scale,become increasingly
Orthogonium,open-source python package,is an
Orthogonium,AOC method,implements
Orthogonal layers,deep learning architectures,are fundamental components in
Orthogonal layers,mathematical properties,possess unique
Orthogonal layers,robustness against adversarial attacks,help achieve
robustness against adversarial attacks,Lipschitz constant,is managed by
1-Lipschitz networks,robustness certificates,allow computation of
constrained networks,orthogonal layers,employ
orthogonal layers,tighter certification bounds,provide
Lipschitz constant,sequence of layers,is estimated as product of individual layer constants for
computing exact Lipschitz constant,NP-hard,is
MaxMin activation,orthogonal layers,is combined with
computing the exact constant,NP-hard,is
MaxMin activation,orthogonal layers,combined with
orthogonal layers,bound,makes tight
orthogonal layers,normalizing flows,enhances performance in
normalizing flows,generative models,are
normalizing flows,invertible mappings,transform simple distributions into complex ones via
orthogonal convolutions,Jacobian determinant,enable computable
orthogonal convolutions,training efficiency,improves
orthogonal convolutions,invertible residual networks,forms basis for
orthogonal layers,deep and recurrent neural networks (RNNs),stabilize training of
orthogonal layers,gradient norms,preserves
preserving gradient norms,long-term dependencies,essential in capturing
orthogonality,Wasserstein GANs (WGANs),supports stability and expressivity in
orthogonality,weight clipping or gradient penalties,does not require
orthogonality,large-scale GAN training,essential for
