node_1,node_2,edge
Optimal Transport (OT),machine learning,has applications in
Optimal Transport (OT),statistics,has applications in
Optimal Transport (OT),signal processing,has applications in
balanced mass requirement,Optimal Transport (OT),limits performance of
unbalanced OT,Optimal Transport (OT),is a variant of
Optimal partial transport (OPT),Optimal Transport (OT),is a variant of
Hellinger Kantorovich (HK),Optimal Transport (OT),is a variant of
Linear optimal partial transport (LOPT) embedding,Optimal partial transport (OPT),extends linearization technique to
Linear optimal partial transport (LOPT) embedding,Optimal Transport (OT),extends linearization technique from
Linear optimal partial transport (LOPT) embedding,Hellinger Kantorovich (HK),extends linearization technique from
LOPT embedding,OPT distance,enables faster computation of
LOPT embedding,point-cloud interpolation,demonstrated in
LOPT embedding,PCA analysis,demonstrated in
Wasserstein distances,Optimal Transport (OT),are derived from
Wasserstein distances,generative models,used in training
Wasserstein distances,domain adaptation,used in
training generative models,optimal transport,application area
domain adaptation,optimal transport,application area
bayesian inference,optimal transport,application area
regression,optimal transport,application area
clustering,optimal transport,application area
learning from graphs,optimal transport,application area
point sets,optimal transport,application area
optimal transport,probability measures,compares
optimal transport,parameterized geodesics,has property
optimal transport,barycenters,has property
optimal transport,weak Riemannian structure,has property
optimal transport,computationally expensive,challenge
optimal transport,approximations,motivates
optimal transport,non-negative measures with varying total mass,challenge in comparing
probability measures,non-negative measures,compared with
non-negative measures,varying total amounts of mass,characterized by
unbalanced optimal transport,optimal partial transport,related to
unbalanced optimal transport,minibatch optimal transport,improves
unbalanced optimal transport,point-cloud registration,used for
optimal partial transport,minibatch optimal transport,improves
optimal partial transport,point-cloud registration,used for
comparing K probability measures,pairwise calculation of transport-based distances,requires
pairwise calculation of transport-based distances,expensive,is
Linear Optimal Transport (LOT) framework,2-Wasserstein distance,linearizes
Linear Optimal Transport (LOT) framework,weak Riemannian structure,utilizes
probability measures,tangent space,embedded into
tangent space,fixed reference measure,at
fixed reference measure,Wasserstein barycenter,e.g.
logarithmic map,probability measures,embeds
Euclidean distances,embedded measures,between
Euclidean distances,2-Wasserstein distance,approximates
LOT framework,one optimal transport problem per input measure,requires computation of
LOT framework,quadratic cost,reduces to linear
LOT framework,theoretical guarantees,provides
