node_1,node_2,edge
Differentially private optimization,large neural networks,used to learn
Differentially private optimization,per-sample gradient clipping,requires
per-sample gradient clipping,computational cost,increases
Book-Keeping technique,DP optimizers,implements
Book-Keeping technique,computational cost,reduces
DP training,standard training,compared to
Book-Keeping technique,GPT2,tested on
Book-Keeping technique,state-of-the-art accuracy,achieves
DP implementation,time complexity,has
DP implementation,training speed,achieves
Deep learning,differential privacy,uses
differential privacy,privacy risks,guarantees protection against
DP GPT2,BLEU score,achieves
DP GPT2,privacy guarantee,has
DP vision transformers,accuracy,obtains
ResNets,accuracy,obtains
DP training,large neural networks,is computationally burdensome for
DP training,standard training,is computationally more burdensome than
DP training,training time,increases
DP training,memory cost,increases
recurrent neural network,DP optimizers,experiences 1000× slowdown with
DP optimizers,Tensorflow-Privacy library,implemented in
convolutional neural network,DP training,experiences 24× slowdown with
CIFAR10,convolutional neural network,dataset used to train
large models,DP training,experience 2∼3× slowdown in
large models,Pytorch,slowdown observed in
large models,JAX,slowdown observed in
DP training,memory overhead,causes 4∼20×
efficiency bottleneck,DP deep learning,lies in
per-sample gradient clipping,efficiency bottleneck,is the cause of
per-sample gradient clipping,Gaussian noise addition,applied jointly with
per-sample gradient clipping,gradient,restricts magnitude of
