node_1,node_2,edge
Monte Carlo methods,sampling,used for
Variational Inference,sampling,used for
sampling methods,intractable probability distributions,sample from
benchmark,sampling methods,evaluates
standardized task suite,benchmark,part of
performance criteria,benchmark,part of
mode collapse,sampling methods,quantified in
metrics,mode collapse,quantify
normalization constant Z,probability density π,normalizes
probability density π,sampling methods,target of
Monte Carlo (MC) methods,Annealed Importance Sampling (AIS),includes
Annealed Importance Sampling (AIS),Sequential Monte Carlo (SMC) extensions,has extension
Monte Carlo (MC) methods,sampling problem,addresses
Variational Inference (VI),sampling problem,alternative approach to
Variational Inference (VI),tractable family of distributions,parameterizes
Variational Inference (VI),intractable target distribution π,maximizes similarity to
sampling methods,Monte Carlo (MC) methods,merge with
sampling methods,Variational Inference (VI),merge with
sampling methods,"complex, potentially multimodal distributions",approximates
variational methods for sampling,evaluation,faces challenges due to lack of standardized tasks and diverse performance criteria
evaluation protocols,evidence lower bound (ELBO),example of an evaluation protocol that relies on model samples
evidence lower bound (ELBO),model’s support,restricts evaluation capabilities to
mode collapse,target densities with well-separated modes,mitigation is problematic when assessing
integral probability metrics (IPMs),maximum mean discrepancy,example of an IPM
integral probability metrics (IPMs),Wasserstein distance,example of an IPM
integral probability metrics (IPMs),target density,leverage samples from to assess performance beyond model's support
maximum mean discrepancy,kernel selection,involves subjective design choices such as
Wasserstein distance,cost function determination,involves subjective design choices such as
our work,comprehensive set of tasks,introduces for evaluating variational methods for sampling
our work,novel metric,proposes specifically to quantify mode collapse
