node_1,node_2,edge
Throwing away data,Worst-group error,improves
Imbalanced classes or groups,Throwing away data,motivates
Throwing away data,Empirical risk minimization,performed on reduced training set
Expected error,Dataset size,decreases as dataset grows
Extreme value theory,Worst-group-accuracy,helps explain
Tails of data distribution,Worst-group-accuracy,play important role in determining
Max-margin linear classifiers,Linearly separable data,used on
Heavy tails,Throwing away data,restores geometric symmetry
Geometric symmetry,Worst-group generalization,improves
Class imbalance,Rare-event data,common in
hidden groups,different proportions,characterized by
image classification dataset,balanced classes,has
pictures for each class,wealthy countries,commonly taken in
minimizing average training error,classifiers,may result in
classifiers,majority groups,perform very well on
classifiers,minority groups,poor performance on
1% test error,classifier,could mean
all examples from a particular minority group,misclassified,are
this work,worst-group-error,concerned with
worst-group-error,classification rules,of
classification rules,imbalanced data,on
sophisticated methods,imbalanced classification problems,proposed to address
simple subsampling,sophisticated methods,offers clear advantage over
subsampling,throw away data from large groups,involves
large groups,smallest group,matched in size to
empirical risk minimization,reduced data,performed on
classical wisdom in learning theory,expected error of classifiers,tells that
expected error of classifiers,decrease,should
expected error of classifiers,training data size,decreases as training data grows
subsampling,imbalanced classification problems,works well when addressing
PAC-learning results,error of classifiers,upper-bounds
throwing away examples,compatible classifiers,increases the amount of
error bound,data subsampling,falls short in explaining empirical benefits of
linear maximum-margin binary classifiers,linearly separable data,analyzed on
maximum-margin classifiers,convex hulls,are equidistant from
convex hulls,probability distributions of each class,shape determined by extremal properties of
extremal properties,extreme value theory,subject of study of
