node_1,node_2,edge
Online Mechanism Design,Information Acquisition,studies the problem of designing mechanisms for
Receiver,Senders,strategic interaction between uninformed receiver and informed senders
Senders,State of nature,receive information about
Receiver,Action,selects an action based on information from senders
Mechanism,Receiver's utility,maximizes
Mechanism,Truthful reporting,incentivizes senders to report truthfully
Algorithm,Incentive Compatible (IC) mechanism,efficiently computes optimal
Online problem,Unknown game,receiver sequentially interacts in
Online problem,Cumulative regret,minimizes w.r.t. optimal IC mechanism
Online problem,Cumulative violation,minimizes of incentive compatibility constraints
Full feedback setting,Algorithm,guarantees O(√T) regret and violation
Bandit feedback setting,Algorithm,"attains O(T^α) regret and O(T^(1-α/2)) violation for α ∈ [1/2, 1]"
Results,Tight lower bound,complemented by
Bayesian persuasion,sender,involves an informed agent called
Bayesian persuasion,receiver,involves an uninformed agent called
sender,signaling scheme,commits to an information-disclosure policy called
signaling scheme,receiver,influences the behavior of
information,decision-making process,plays a crucial role in
Bayesian persuasion,online advertising,applied to
Bayesian persuasion,voting,applied to
Bayesian persuasion,traffic routing,applied to
Bayesian persuasion,security,applied to
this work,inverse problem,studies the
inverse problem,receiver,faced by a
receiver,multiple senders,wants to incentivize
multiple senders,private information,share their
private information,common state of nature,about a
receiver,senders,receives reports from
senders,private information,share
private information,common state of nature,about
receiver,commitment power,has
receiver,action,chooses
action,randomized mechanism,drawn from
randomized mechanism,signals reported,depends on
senders,signals,receive
signals,common state of nature,about
senders,utility,receive
receiver,utility,receive
utility,state of nature,depends on
utility,action,depends on
incentive compatible mechanism,sender’s utility,maximizes
online scenario,receiver,considered by
receiver,parameters of the game,has partial or no information about
algorithms,senders,repeatedly interact with
algorithms,sublinear regret,guarantee
algorithms,violations of incentive compatibility constraints,guarantee
