node_1,node_2,edge
Simulation modeling,synthetic representations,produces
Simulation modeling,complex real-world systems,represents
Simulation-based inference,likelihood-free methods,is also known as
Simulation-based inference,Bayesian inference,approximates
Likelihood function,simulator,is intractable for
Reference priors,simulation models,are constructed for
Reference priors,minimally informative priors,are a type of
Reference priors,expected Kullback-Leibler distance,maximise
Expected Kullback-Leibler distance,prior to posterior,measures distance from
Objective Bayesian inference,reference priors,enabled by
Variational approximations,reference priors,used to learn
Mutual information estimators,reference priors,used to estimate
Simulation models,complex systems,used for understanding
Simulation models,likelihood function,often lack analytically tractable
likelihood function,classical statistical inference methods,intractability prevents direct application of
Simulation models,simulation-based inference (SBI) techniques,motivates development of
simulation-based inference (SBI) techniques,Approximate Bayesian Computation,includes
simulation-based inference (SBI) techniques,density and density ratio estimation,includes modern methods based on
information estimators,reference priors,used to approximate
reference priors,simulation models,approximated for
reference priors,likelihood-free objective Bayesian inference,provides a first step towards
simulation-based Bayesian inference methods,posterior distribution,approximate
posterior distribution,Bayes's theorem,given by
prior distribution,model parameters,encapsulates pre-existing knowledge about
posterior distribution,prior distribution,updates beliefs from
simulator,implicit density,has
simulation-based Bayesian inference,likelihood function,does not require evaluation of
modeller,prior beliefs,may wish to minimise influence of
