node_1,node_2,edge
Meta Optimal Transport,amortized optimization,uses
Meta Optimal Transport,optimal transport maps,predicts
Meta Optimal Transport,input measures,predicts maps from
Meta Optimal Transport,standard OT solvers,improves computational time of
Meta Optimal Transport,grayscale images,applied to
Meta Optimal Transport,spherical data,applied to
Meta Optimal Transport,classification labels,applied to
Meta Optimal Transport,color palettes,applied to
optimal transportation,economics,applied in
optimal transportation,reinforcement learning,applied in
optimal transportation,style transfer,applied in
optimal transportation,generative modeling,applied in
optimal transportation,geometry,applied in
optimal transportation,domain adaptation,applied in
optimal transportation,signal processing,applied in
optimal transportation,fairness,applied in
optimal transportation,cell reprogramming,applied in
optimal transport,Kantorovich problem,is defined by
Kantorovich problem,optimal coupling,produces
optimal coupling,product space,is over
admissible couplings,measures α and β,between
ground cost,distance,represents
entropic optimal transport,transport problem,smooths with entropy penalty
sliced distances,1-dimensional projections,solves OT between
optimal transport,signal processing,applied in
optimal transport,fairness,applied in
optimal transport,cell reprogramming,applied in
optimal transport method,eq. (1),solved repeatedly for new scenarios
"input measures (α, β)",optimal transport method,used as input for solving
optimal transport problems,comparing seismic signals,applied in context of
optimal transport problems,single-cell perturbations,applied in context of
standard optimal transport solvers,optimization problems,re-solve from scratch
amortized optimization,machine learning methods,used to rapidly solve multiple optimal transport problems
Meta Optimal Transport,optimal transport problem,predicts solution from input measures
Meta OT models,solutions to optimal transport problems,predicts and improves computational time
Meta OT,generative modeling settings,not useful in settings that do not repeatedly solve OT problems
