node_1,node_2,edge
Path attribution framework,post-hoc model interpretation techniques,is a type of
Path attribution framework,game-theory,has inspirational roots in
Path attribution methods,counter-intuitive feature attributions,can compute
Path attribution methods,deep visual models,applied to
Path attribution methods,game-theoretic intuitions,may not conform to
Systematic investigation,path attribution framework,performed on
Counter-intuitive attributions,deep visual models,can be avoided under certain conditions
Integrating attributions over paths,original insights of game-theory,conforms to
Method,intuitive and reliable feature attributions,provides
Method,"multiple datasets, models and evaluation metrics",evaluated on
Deep learning,safety-critical domains,is approaching maturity for deployment in
Deep learning,black-box nature,has a
Black-box nature,high-stake applications,presents a major concern for use in
Black-box nature,ethical use,presents a concern for
Deep learning,explanation techniques,has led to numerous
Path attribution framework,deep vision modelling,is used in
Feature absence,cooperative game setups,is easy to model in
Feature absence,path attribution framework,compromises efficacy of
Path attribution framework,game-theoretic intuitions,does not conform to
Path attribution framework,counter-intuitive attributions,leads to
path attribution framework,deep visual models,applied to
path attribution methods,post-hoc interpretation methods,are a subset of
post-hoc interpretation methods,model training,do not interfere with
path attribution methods,attribution scores,compute
attribution scores,input features,quantify importance for
attribution scores,model prediction,quantify importance for
path attribution framework,game-theoretic roots,has
path attribution framework,baseline,defines
path attribution framework,path,defines
baseline,absence of feature,signifies
path,absence of feature,flows from
path,presence of feature,flows to
attribution scores,axiomatic properties,follow
path attribution methods,theoretical foundations,have clear
intrinsically explainable models,post-hoc interpretation methods,are parallel research direction to
