node_1,node_2,edge
Puzzle,Neural Architecture Search (NAS),uses
Puzzle,Blockwise Local Knowledge Distillation (BLD),utilizes
Puzzle,Mixed-Integer Programming,employs for constraint optimization
Puzzle,Large Language Models (LLMs),accelerates inference of
Puzzle,Llama-3.1-Nemotron-51B-Instruct,produces
Puzzle,Llama-3.3-Nemotron-49B,produces
Llama-3.1-Nemotron-51B-Instruct,Llama-70B-Instruct,derived from
Llama-3.3-Nemotron-49B,Llama-70B-Instruct,derived from
Llama-3.1-Nemotron-51B-Instruct,NVIDIA H100 GPU,fits on single
Llama-3.3-Nemotron-49B,NVIDIA H100 GPU,fits on single
Llama-3.1-Nemotron-51B-Instruct,2.17× inference throughput speedup,achieves
Llama-3.3-Nemotron-49B,2.17× inference throughput speedup,achieves
Llama-3.1-Nemotron-51B-Instruct,98.4% benchmark accuracy,retains
Llama-3.3-Nemotron-49B,98.4% benchmark accuracy,retains
Blockwise Local Knowledge Distillation (BLD),parallel architecture exploration,enables
Mixed-Integer Programming,precise constraint optimization,used for
speedup,single NVIDIA H100 GPU,fits on
model,original model’s benchmark accuracies,retains 98.4% of
model,single H100 GPU inference,supports
model,large batch sizes,supports
model,45B tokens,trained on at most
Llama-70B,15T tokens,trained on
lightweight alignment,derived models,applied to
derived models,parent model,surpass in specific capabilities
LLM models,efficient deployment,optimized for
inference performance,parameter count,should guide model selection over
LLMs,high computational costs,associated with
high computational costs,accessibility and scalability,restricts
LLMs,substantial amount of parameters,require for training
over-parameterization,optimization,facilitates
over-parameterization,capacity to store knowledge,provides
larger models,superior performance,demonstrate
trained models,redundant parameters and computations,exhibit during inference
computational efficiency techniques,redundant parameters and computations,address
LLM architectures,repeated identical layers,comprise
design choice,training stability and ease of scaling,driven by
design choice,inference efficiency,not driven by
