node_1,node_2,edge
Graph2Tac,online representation learning,implements
formal mathematical concepts,physical proximity,strong predictor of mutual relevance
lemmas,close proximity,exhibit similar proof structures
locality property,online learning techniques,exploited by
online learning techniques,solving agents,obtain
online solvers,Tactician platform,implemented in
Tactician platform,Coq proof assistant,for
Tactician's online k-nearest neighbor solver,offline equivalent,shows 1.72× improvement in theorems proved
Graph2Tac,graph neural network,is a
Graph2Tac,hierarchical representations,builds for new definitions
Graph2Tac's online definition task,offline baseline,realizes 1.5× improvement in theorems solved
k-NN solver,Graph2Tac solver,rely on orthogonal online data
k-NN solver and Graph2Tac solver,combination,improves 1.27× over individual performances
Graph2Tac and k-NN solvers,other general-purpose provers for Coq,outperform by at least 1.48×
other general-purpose provers for Coq,"CoqHammer, Proverbot9001, transformer baseline",includes
Coq,general-purpose provers,outperforms
CoqHammer,general-purpose provers,is a type of
Proverbot9001,general-purpose provers,is a type of
transformer baseline,general-purpose provers,is a type of
formal libraries of mathematics,hierarchical structure,are structured by
definitions,lemmas,build on
lemmas,other lemmas,proven with help of
formalization projects,one another,depend on
web of formal mathematical knowledge,formalization projects,results from
core of formal mathematics,static knowledge,stabilizes into
outskirts of formal mathematics,ever-changing knowledge,are characterized by
four-color theorem,formal mathematics,is an example of a goal in
mathematics,static foundational core,has
mathematics,ever-changing outskirts,has
good mathematician,deep intuitive understanding,possesses
deep intuitive understanding,static foundational core,of
good mathematician,training and practice,gained through
AI mathematician,large offline corpus,trained on
mathematician,capability to quickly gain working understanding,has
capability to quickly gain working understanding,learned skill,is
experienced mathematician,grok new math concept,can
grok new math concept,definition and examples,from
AI,online representation learning,requires
online representation learning,quickly build new representations,enables
online representation learning,retrain from scratch,without
this work,online representation learning,explores
this work,Coq proof assistant,through
Coq proof assistant,Tactician platform,accessed via
Tactician platform,large-scale dataset,provides
Tactician platform,machine-to-machine interaction protocols,provides
machine-to-machine interaction protocols,external proving agent,give online access to
external proving agent,full internal formal knowledge base,accesses
full internal formal knowledge base,Coq,loaded into
this work,evaluates capabilities,does
evaluates capabilities,two online solvers,of
two online solvers,Tactician's built-in k-NN solver,includes
two online solvers,Graph2Tac,includes
Tactician's built-in k-NN solver,k-nearest neighbor,is
Graph2Tac,novel model,is
two online solvers,baselines,evaluated against
