node_1,node_2,edge
Out-of-distribution (OOD) detection,ImageNet-1K,OOD detection is tested on ImageNet-1K as in-distribution
OOD detection,test OOD datasets,evaluated using test OOD datasets
test OOD datasets,erroneous samples,contain erroneous samples belonging to ID classes
erroneous samples,OOD detectors,distort evaluation of OOD detectors
NINCO,test OOD dataset,is a novel test OOD dataset
NINCO,ID free,each sample checked to be ID free
NINCO,OOD classes,contains fine-grained range of OOD classes
NINCO,OOD detector,allows detailed analysis of OOD detector strengths and failure modes
synthetic OOD unit-tests,NINCO,paired with NINCO for evaluation
OOD detection methods,NINCO,evaluated on NINCO and unit-tests
pretraining,OOD detection performance,affects OOD detection performance
deep learning based models,impressive performance,exhibit
deep learning based models,unforeseen behaviour,exhibit when confronted with unknown situations
unknown situations,input not related to the task,includes
input not related to the task,out-of-distribution (OOD),regarded as
deep neural network classifiers,confident predictions,make
confident predictions,in-distribution (ID) classes,belong to
unwanted behaviour,serious obstacle,is
serious obstacle,applying classifiers in real world applications,hinders
OOD detectors,reject OOD inputs,purpose is to
reject OOD inputs,requesting human intervention,can mean
reject OOD inputs,steering towards a safe state,can mean
reject OOD inputs,abstaining from making a prediction,can mean
OOD detectors,letting ID inputs pass through,also purpose is to
current OOD detection evaluations,image classification,in
current OOD detection evaluations,assumption that no ID class present in OOD test image,rely on
input,out-of-distribution (OOD),considered if does not contain any in-distribution classes
out-of-distribution (OOD) data,in-distribution (ID) classes,defined as not containing any of
test OOD datasets,ImageNet-1K (IN-1K),used for evaluating OOD detection on
open set recognition (OSR),OOD detection,closely related task to
open set recognition (OSR),OOD data,demands detection of
open set recognition (OSR),ID data,demands high classification accuracy on
test OOD datasets,OSR literature,used in
objects from ID classes,test OOD datasets,occur in
state-of-the-art OOD detectors,objects from ID classes,correctly recognize
false false positives,OOD detection evaluations,held against as mistakes in
ID objects,OOD datasets,contaminate
categorical ID contaminations,ID classes,show objects from
base dataset,test OOD dataset,derived from
