node_1,node_2,edge
Adversarial Robustness,Conformal Prediction,enhanced by
Conformal Prediction,Guaranteed Model Reliability,provides framework for
Deep learning models,high-risk applications,deployed in
Adversarial attacks,Deep learning models,threaten
Adversarial training,Conformal Prediction,advanced by leveraging principles from
OPSA,adversarial attack method,is a type of
OPSA,model uncertainty,maximizes
OPSA,significance level,reduces efficiency of conformal prediction at any
OPSA-AT,defense strategy,is a
OPSA-AT,OPSA,integrates
OPSA-AT,conformal training paradigm,operates within
OPSA attack method,baseline approaches,induces greater uncertainty compared to
OPSA-AT defensive model,robustness,enhances
OPSA-AT defensive model,reliable prediction,maintains
integrated approach,trustworthy and resilient deep learning models,develops
safety-critical domains,trustworthy and resilient deep learning models,require
Deep Neural Networks (DNNs),predictive uncertainty,challenge in quantification during deployment
Conformal Prediction (CP),predictive uncertainty,addresses quantification
Conformal Prediction (CP),distribution-free properties,distinguished by
Conformal Prediction (CP),robust uncertainty quantification,provides
Conformal Prediction (CP),regression,excels in
Conformal Prediction (CP),classification,excels in
Conformal Prediction (CP),confidence intervals,provides
Conformal Prediction (CP),well-calibrated probability estimates,provides
integrated approach,trustworthy deep learning models,develops
integrated approach,resilient deep learning models,develops
deep learning models,safety-critical domains,applied to
Conformal Prediction (CP),confidence intervals,provides rigorous
Conformal Prediction (CP),probability estimates,provides well-calibrated
Conformal Prediction (CP),data uncertainty,characterizes inherent
Conformal Prediction (CP),classification error rates,maintains controlled
Conformal Prediction (CP),model robustness,enhances against adversarial perturbations
Conformal Prediction (CP),safety-critical applications,has potential for deployment in
autonomous driving,safety-critical applications,is an example of
medical diagnosis,safety-critical applications,is an example of
current research efforts,adversarial robustness,focus on in context of CP
current research efforts,non-consistent scoring functions,adjust to mitigate adversarial attacks
adversarial attacks,test or calibration data,impact on
existing approaches,prediction set size,increase to ensure coverage
existing approaches,specific types of adversarial attacks,optimized for
existing approaches,computational efficiency,exhibit deficiencies in
existing approaches,generalization ability,exhibit deficiencies in
