node_1,node_2,edge
Extreme classification (XC),large numbers of classes,involves predicting over
Extreme classification (XC),zero-shot version,has
zero-shot version,novel classes,requires generalization to
SemSup-XC,state-of-the-art zero-shot and few-shot performance,achieves
SemSup-XC,three XC datasets,evaluated on
three XC datasets,"legal, e-commerce, and Wikipedia data",derived from
SemSup-XC,automatically collected semantic class descriptions,uses
automatically collected semantic class descriptions,classes,represent
SemSup-XC,hybrid matching module,uses
hybrid matching module,input instances,matches
hybrid matching module,class descriptions,matches to
hybrid matching module,semantic and lexical similarity,uses combination of
SemSup-XC,contrastive learning,trained with
SemSup-XC,baselines,outperforms
SemSup-XC,12 precision points on zero-shot,gains up to
SemSup-XC,10 precision points on one-shot tests,gains more than
ablation studies,hybrid matching module,highlight importance of
ablation studies,automatically collected class descriptions,highlight importance of
Extreme classification (XC),predicting over a large space of classes,is defined as
Extreme classification (XC),real-world applications,has
real-world applications,movie and product recommendation,includes
real-world applications,search-engines,includes
real-world applications,e-commerce product tagging,includes
Extreme classification (XC),zero-shot and few-shot extreme classification (ZS-XC and FS-XC),has subfields
zero-shot and few-shot extreme classification (ZS-XC and FS-XC),addition of new classes,handles
zero-shot and few-shot extreme classification (ZS-XC and FS-XC),challenges,faces
challenges,large number of fine-grained classes,includes
challenges,limited or no labeled data per class,includes
challenges,increased computational expense,includes
fine-grained classes,mutually exclusive,are often not
extreme classification,limited labeled data,characterized by
extreme classification,large label space,characterized by
extreme classification,computational expense,increases due to
previous works,semantically rich representation,lack
previous works,class names or hierarchies,rely on
SemSup-XC,class descriptions,represents classes using
SemSup-XC,novel classes,generalizes to
SEMSUP,extreme classification,cannot be naively applied to
SEMSUP,encoding descriptions,requires
encoding descriptions,computationally expensive,is
SEMSUP,semantic similarity at sentence level,uses
SEMSUP,human intervention,requires
SemSup-XC,hybrid lexical-semantic similarity model,uses
hybrid lexical-semantic similarity model,HybridMatch,also called
HybridMatch,semantic similarity of sentences,combines
