node_1,node_2,edge
Mixture models,universal approximators,are
Mixture models,smooth densities,approximate
Continuously Parameterized Mixture Models,mixture of factor analyzers,continuously parameterizes
Continuously Parameterized Mixture Models,learned ordinary differential equation,uses
learned ordinary differential equation,neural ODE,is also known as
mixture components,neural ODE,can be extracted from
training curriculum,latent space,uses
latent space,normalizing flow,extracted from
training curriculum,input space,transitions to
smooth curriculum,results,stabilizes and improves
hierarchical version,model,"enables more flexible, robust classification and clustering"
hierarchical version,traditional parameterizations of GMMs,shows substantial improvements against
Mixture models,density estimation,used for
Mixture models,cluster analysis,used for
Mixture models,underlying data distribution,provide an estimate of
Mixture models,major patterns in a dataset,summarize
Gaussian mixture models (GMMs),smooth densities,provide a universal approximation for
Gaussian mixture models (GMMs),modeling and clustering,deployed for
Gaussian mixture models (GMMs),high dimensional data,applied to
Gaussian components,partitions (modes),capture
complicated components,identifiability issues,worsen
mixture models,local minima,converge to
optimization of mixture models,initialization,sensitive to
k-means,initialization,proposed to initialize via
initialization,local fitting methods,is sensitive to and initialized by
local fitting methods,k-means,includes
local fitting methods,Euclidean distance,implies distance metric
Euclidean distance,high dimensions,is rarely appropriate in
mixture of mixtures,hierarchical approach,is implemented via
mixture of mixtures,distinct dynamical systems,considers
components,infinite mixture model,evolves to result in
shared generator of components,hypernetworks,is akin to
multiple partitions,entire support,combine to cover
partition,multiple components,is defined by
components,smooth dynamics,are spanned through
discrete components,continuous parameterization,are sampled from
learned curriculum,data,is created over
