node_1,node_2,edge
Large Language Models (LLMs),Multi-Head Attention embeddings,constrained to exist in intrinsic dimension
Large Language Models (LLMs),feedforward (MLP) network,contains partition and per-region affine mappings
intrinsic dimension,Multi-Head Attention embeddings,defines the constrained space of
geometric understanding,LLMs’ RLHF protection,enables bypassing through prompt manipulation
geometrical features,toxicity detection,helps solve
geometrical features,abstract representation of inputs,provides
LLMs’ inner mechanisms,geometry,understood through the lens of
Large Language Models (LLMs),Deep Neural Networks (DNNs),are a family of
LLM layer,nonlinear layers,composed from
Spline-Llama2-7B,Toxicity Detection Benchmark,evaluated on
Spline-Mistral-7B,Toxicity Detection Benchmark,evaluated on
unsupervised features,LLM layer,proposed per
random forest,first 3 layers features,uses
linear classifier,all the features,uses
ROC-AUC,Omni-Toxic dataset,measured on
Multi-head self-attention block (MHA),LLMs,component of
Multilayer perceptron block (MLP),LLMs,component of
MHA,time dimension,spans
MHA,token sequence,spans
LLMs,intricate dependencies,learns
LLMs,previous architectures,unlike
previous architectures,recurrence,relied on
LLMs,unsupervised manner,trained in
LLMs,auto-regression,trained through
auto-regression,predict the next token,involves
LLMs,domain agnostic,enables
LLMs,downstream tasks,adapts to
training paradigm,hurdle,presents
hurdle,understanding learned representations,in
hurdle,extracting learned representations,in
LLM,abstract and informative representation,lacks
practitioners,embeddings from LLMs,extract
embeddings from LLMs,inner mechanisms,understand
embeddings from LLMs,downstream tasks,solve
current approaches,identifying LLM’s inner knowledge,aim at
current approaches,two categories,fall into
first category,generated answer,extracts knowledge from
first category,engineering prompts,uses
first category,querying the LLM,uses
