node_1,node_2,edge
multiaccuracy,multicalibration,are fairness frameworks
proxy-sensitive attributes,sensitive group data,are used as substitute when missing
multiaccuracy,proxy-sensitive attributes,can be evaluated using
multicalibration,proxy-sensitive attributes,can be evaluated using
proxy-sensitive attributes,actionable upper bounds,provide
actionable upper bounds,true multiaccuracy violations,bound
actionable upper bounds,true multicalibration violations,bound
adjusting models,multiaccuracy,satisfies
adjusting models,multicalibration,satisfies
adjusting models,proxy-sensitive attributes,across
adjusting models,true sensitive groups,mitigates violations for
predictive machine learning algorithms,high-stakes decision-making,used in
fairness,sensitive groups,is required across
parity-based fairness notions,proxy-sensitive attributes,have been applied to
predictive machine learning algorithms,high-stakes decision-making contexts,used in
predictive machine learning algorithms,biases,can exhibit
predictive machine learning algorithms,sensitive groups,discriminate against
approximate multiaccuracy,sensitive group data,achieved when incomplete or unavailable
approximate multicalibration,sensitive group data,achieved when incomplete or unavailable
racial disparities,recidivism risk,revealed in
ProPublica’s investigation,recidivism risk assessment algorithms,revealed racial disparities in
recidivism risk assessment algorithms,African Americans,disproportionately classified as high-risk for re-offending
regulatory bodies,predictive algorithms,emphasized importance of ensuring they avoid discrimination and uphold fairness
US Office of Science and Technology Policy (OSTP),predictive algorithms,regulates to ensure fairness
European Union,predictive algorithms,regulates to ensure fairness
United Nations,predictive algorithms,regulates to ensure fairness
algorithmic fairness,predictive models,field dedicated to ensuring they do not discriminate against sensitive groups
sensitive groups,sensitive attributes,"defined by attributes such as race, age, or biological sex"
measuring and controlling fairness,sensitive group information,challenging due to incomplete or unavailable information
healthcare,sensitive data,privacy and legal regulations like HIPAA restrict access to
HIPAA Privacy Rule,sensitive data,restricts access to
