node_1,node_2,edge
Semidefinite Programming (SDP),matrix sketching,augmented with
Semidefinite Programming (SDP),scalability,enables solving larger problems
matrix sketching,scalability,improves
matrix sketching,number of iterations,increases
number of iterations,convergence speed,slows down
warm-start initialization,convergence,accelerates
warm-start initialization,iteration-dependent parameter schedules,prohibited by
Unified Spectral Bundling with Sketching (USBS),Semidefinite Programming (SDP),solves
Unified Spectral Bundling with Sketching (USBS),warm-start initialization,leverages
Unified Spectral Bundling with Sketching (USBS),spectral bundle method,is a
spectral bundle method,equality constraints,handles
spectral bundle method,inequality constraints,handles
Unified Spectral Bundling with Sketching (USBS),matrix sketching,augmented with
Unified Spectral Bundling with Sketching (USBS),scalability,achieves improved
Unified Spectral Bundling with Sketching (USBS),convergence speed,sustains
USBS,state-of-the-art scalable SDP,provides 500x speed-up over
Semidefinite programming (SDP),convex optimization,is a paradigm of
Semidefinite programming (SDP),combinatorial optimization,models or approximates problems in
Semidefinite programming (SDP),neural network verification,models or approximates problems in
Semidefinite programming (SDP),robotics,models or approximates problems in
Semidefinite programming (SDP),optimal experiment design,models or approximates problems in
Semidefinite programming (SDP),VLSI,models or approximates problems in
Semidefinite programming (SDP),systems and control theory,models or approximates problems in
USBS,scalable SDP solver,provides speed-up over
USBS,instance with over 2 billion decision variables,achieves 500x speed-up on
standard SDP solvers,high computational complexity,characterized by
projection,standard constrained optimization approaches,is a high cost challenge in
Semidefinite programming (SDP),projection onto the feasible region,main challenge when solving SDPs is the high cost of projection
projection onto the feasible region,semidefinite cone,projecting a symmetric matrix onto the semidefinite cone requires full eigendecomposition
full eigendecomposition,problem dimension,scales cubicly with the problem dimension
projected gradient methods,high computational cost,limited applicability due to high cost of projection
ADMM-based approaches,high computational cost,limited applicability due to high cost of projection
Interior point methods,small-to-moderate sized SDPs,de facto approach for solving
Interior point methods,computational resources,require even more computational resources
Projection-free methods,projection onto the semidefinite cone,proposed to avoid the computational burden of projecting iterates
conditional gradient-based methods,projection onto the semidefinite cone,proposed to avoid the computational burden of projecting iterates
Projection-free methods,subgradient descent in the dual space,use techniques including subgradient descent
conditional gradient-based methods,unconstrained augmented objective function,use conditional gradient method on an unconstrained augmented objective function
Projection-free methods,extreme eigenvector calculation,bulk of computational burden is extreme eigenvector calculation
extreme eigenvector calculation,scalability,scalability still limited despite improved per-iteration complexity
Projection-free methods,storing the entire primal matrix,require storing the entire primal matrix which scales quadratically with problem dimension
