node_1,node_2,edge
Explainable Artificial Intelligence (XAI),human/value-oriented explanations,is divided into
Explainable Artificial Intelligence (XAI),model/validation-oriented explanations,is divided into
human/value-oriented explanations,BLUE XAI,is also called
model/validation-oriented explanations,RED XAI,is also called
RED XAI,question models,used to
question models,extract knowledge from well-performing models,includes
question models,spotting and fixing bugs in faulty models,includes
RED XAI,under-explored,is currently
RED XAI,safety of AI systems,ensures
explainable machine learning (XAI),crisis of identity,is currently experiencing
misconceptions,XAI method,are partly responsible for crisis of
XAI field,two communities of researchers,has
two communities of researchers,different goals,have
BLUE XAI culture,goals,discussion of goals dominated by
RED XAI culture,goals,has very different
Zachary Lipton,feature important scores,mentioned in context of
Goldblum et al. (2023),Zachary Lipton,contains quote from
BLUE XAI culture,RED XAI culture,contrasted with
RED XAI culture,research challenges,has promising
XAI,AI models,explains failures of
AI models,flawed examples,includes
XAI research,AI model failures,driven by
AI act,XAI techniques,does not follow flourishing of
XAI field,confusion,experiencing
XAI crisis,fallacies,caused by
models,interpretable,either are or are not
XAI silver bullet,single solution,myth of
true explanations,existence,assumed
user study,ultimate validation,considered
users,explanations,need
explanations,supplementary and complementary,can be
multiple models,Rashomon perspective,associated with
explorer mindset,data and models,applied to
"benchmarks, tools, standards",XAI,needed for
