node_1,node_2,edge
Random matrix theory,Fr´echet mean,improves estimation of
Fr´echet mean,symmetric positive definite matrices,computed on manifold of
Fr´echet mean,Karcher mean,also known as
Fr´echet mean,geometric mean,also known as
Covariance matrices,machine learning,used in
Covariance matrices,symmetric positive definite matrices,are a type of
EEG,covariance matrices,uses
remote sensing,covariance matrices,uses
nearest centroid,covariance matrices,algorithm based on
SPD matrices,deep learning networks,used in
nearest centroid,SPD matrices,uses
SPD matrices,deep learning networks,used in
SPD matrices,metric learning,used in
SPD matrices,domain adaptation,used in
SPD matrices,privacy protection,used in
class barycenter,machine learning algorithms,component of
class barycenter,SPD matrices,computed for
Fréchet mean,SPD matrices,is the barycenter for
Fréchet mean,Karcher mean,also known as
nearest centroid,Fréchet mean,uses
SPD deep learning networks,Fréchet mean,uses for pooling
metric learning,Fréchet mean,uses
optimal solution,Fréchet mean,not available analytically for
iterative algorithms,Fréchet mean,used to compute
Riemannian gradient,iterative algorithms,derived for
Riemannian geometry,iterative algorithms,grounded in
SPD matrices,manifolds,belong to
SPD matrices,classical geometry,is often given by
SPD matrices,Bures-Wasserstein geometry,alternative geometry for
SPD matrices,log-Euclidean geometry,alternative geometry for
SPD matrices,more general manifold geometry,alternative geometry for
algorithms,numerically unfeasible solution,may produce
numerically unfeasible solution,singular matrix,caused by presence of
singular matrix,regularization,is solved by
regularization,shrinking covariance estimate towards identity matrix,most common technique is
shrinking covariance estimate towards identity matrix,parameter,introduces a
parameter,new estimate,hinges upon
Ledoit & Wolf (2004),mean square error (MSE),uses
mean square error (MSE),true covariance,between
mean square error (MSE),regularized covariance,between
optimal parameter,statistical consistency considerations,calculated on basis of
Ledoit & Wolf (2004),Ledoit & Wolf (2015),improved by
Ledoit & Wolf (2015),Ledoit & Wolf (2020),improved by
Ledoit & Wolf (2004),non-Gaussian data extensions,extended to
non-Gaussian data extensions,Ollila & Tyler (2014),proposed by
non-Gaussian data extensions,Pascal et al. (2014),proposed by
Tiomoko et al. (2019),distance-based criterion,introduced
