node_1,node_2,edge
AtlasD,local symmetry discovery,is a method for
local symmetry,atlas equivariance,formalized as
AtlasD,local predictor networks,trains
local predictor networks,Lie group basis,learns
Lie group basis,equivariant predictors,makes
AtlasD,top-quark tagging,demonstrated on
AtlasD,partial differential equation experiments,demonstrated on
discovered local symmetry,inductive bias,serves as
inductive bias,downstream tasks,improves performance of
downstream tasks,climate segmentation,includes
downstream tasks,vision tasks,includes
equivariant neural networks,symmetry,exploit as inductive bias
equivariant neural networks,training efficiency,improves
equivariant neural networks,generalization,improves
equivariant networks,training efficiency,associated with
equivariant networks,improved generalization,associated with
equivariant networks,symmetries,require knowledge of
symmetries,real-world situations,exhibited by
symmetries,transformations,include
transformations,rotation,example of
transformations,translation,example of
transformations,scaling,example of
global transformations,space,alter uniformly
local transformations,neighborhood,affect
equivariant models,symmetry discovery pipelines,focus on
symmetry discovery pipelines,auxiliary neural networks,developed using
auxiliary neural networks,symmetries,automatically identify
global symmetries,local symmetries,contrasted with
local symmetries,transformations on small neighborhoods,defined as
gauge equivariant CNNs,local symmetries,takes advantage of
gauge equivariant CNNs,arbitrary manifolds,applied to
symmetry discovery pipelines,global symmetries,focus on
local symmetry discovery pipeline,arbitrary manifolds,generalizes to
local symmetry discovery pipeline,gauge equivariant networks,allows downstream use in
atlas,charts,composed of
atlas equivariance,function restricted to a chart,states that
atlas equivariance,localized function must be equivariant,requires
deep learning method,atlas equivariances,discovers
atlas equivariances,Lie,discovered in form of
