node_1,node_2,edge
Diffusion Models,Artists,compared to
Diffusion Models,Humans,compared to
Diffusion Models,Machines,compared to
One-shot diffusion models,Gap between humans and machines,closing
Guidance of diffusion models,Humanness of drawings,improves
Human drawings,Machine-generated drawings,compared to
Human category diagnostic features,Features from diffusion models,compared against
Humans,Localized features,rely on fewer and more
Diffusion models,Quality of machine-generated drawings,improved
Gap between humans and machines,Discrepancies in visual strategies,explained by
drawings,human cognition,deeply rooted in
drawings,clinical settings,routinely used in
drawings,evaluating emotional trauma,used for
drawings,evaluating developmental disorders,used for
drawings,evaluating intellectual deficits,used for
drawing tasks,probing human ability,used to
human ability,learning new visual concepts,enables
one-shot drawing tasks,computational perspective,offers challenge from
one-shot drawing tasks,estimating probability distributions,requires
estimating probability distributions,novel image categories,for
humans,one-shot generation,can perform
one-shot generation,novel image categories,estimates probability distributions for
humans,inductive biases,possess strong
inductive biases,one-shot generation,enable
Generative Adversarial Networks (GANs),one-shot generation,used for
Variational Auto-Encoders (VAEs),one-shot generation,used for
diffusion models,one-shot generation,promising for
spatial attention,inductive biases,is a form of
contextual information,inductive biases,is a form of
one-shot generative models,inductive biases,take advantage of
