node_1,node_2,edge
Smoothed Online Quadratic Optimization (SOQO),quadratic hitting cost,involves
Smoothed Online Quadratic Optimization (SOQO),squared ℓ2-norm cost for switching actions,involves
Smoothed Online Quadratic Optimization (SOQO),adversarial setting,studied in
Smoothed Online Quadratic Optimization (SOQO),stochastic setting,studied in
Lazy Adaptive Interpolation (LAI),martingale process,designed for
Lazy Adaptive Interpolation (LAI),distribution-agnostic dynamic interpolation algorithm,is a
ROBD,adversarial optimal algorithm,is
ROBD,Lazy Adaptive Interpolation (LAI),has Ω(T) expected regret with respect to
Lazy Adaptive Interpolation (LAI),adversarial setting,has sub-optimal competitive ratio in
best-of-both-worlds algorithm,robust adversarial performance,achieves
best-of-both-worlds algorithm,near-optimal stochastic performance,achieves
Smoothed Online Quadratic Optimization (SOQO),smart grid management,has applications in
Smoothed Online Quadratic Optimization (SOQO),adaptive control,has applications in
Smoothed Online Quadratic Optimization (SOQO),data center management,has applications in
smoothed online quadratic optimization (SOQO),online decision xt,involves making
quadratic hitting cost ft(x),online decision xt,depends on
ℓ2-norm switching cost,online decision xt,penalizes changes between consecutive decisions
sequence of minimizers {vt},player,revealed to
sequence of minimizers {vt},adversarial or stochastic,can be
online optimization problem with quadratic costs,smart grid cost management,applied to
online optimization problem with quadratic costs,adaptive control,applied to
smoothed online optimization,adversarial point of view,studied primarily from
smoothed online optimization,LQR control,related domain
LQR control,noise,incorporates
smoothed online optimization,SOQO,cannot be translated to
online optimization community,algorithms,develops
algorithms,situations with more structure,overly pessimistic for
scheduling,stochastic modeling,uses
stochastic modeling,known data patterns,captures
adaptive control,smoothed online optimization,related to
data center management,smoothed online optimization,application of
electrical vehicle charging,smoothed online optimization,application of
video transmission,smoothed online optimization,application of
power systems,smoothed online optimization,application of
chip thermal management,smoothed online optimization,application of
