node_1,node_2,edge
User-level Private Stochastic Convex Optimization,Differential privacy,is a problem studied under the notion of
User-level differential privacy,User-level Private Stochastic Convex Optimization,is the privacy notion used in
User-level differential privacy,indistinguishability,is defined with respect to replacing the entire local dataset of any given user
User-level DP-SCO,central model,has optimal rates established under smoothness conditions in
User-level DP-SCO,local model,has optimal rates established under smoothness conditions in
optimal rate,central setting,is approximately 1/√(nm) + √(d)/(εn)
optimal rate,local setting,is approximately √(d)/(ε√(nm)) + √(d)/(εn)
User-level DP mean estimation techniques,first-order stochastic optimization methods,are combined in the algorithms
central DP setting,Levy et al. (2021),improves over the rate attained by
improvement,generalization properties of DP,is enabled by a novel application of
generalization properties of DP,multi-pass stochastic gradient methods,are applied in the context of
Differential Privacy (DP),gold standard,is considered as
Differential Privacy (DP),machine learning,provides privacy protection in
stochastic convex optimization (SCO),machine learning,is important in
differentially private SCO (DP-SCO),stochastic convex optimization (SCO),is a privacy-constrained variant of
DP-SCO,item-level DP,typically uses
item-level DP,user-level DP,is contrasted with
user-level DP,each user,provides stronger privacy protection for
each user,local dataset of m data points,contributes
item-level DP,user-level DP,is compared to as providing weaker vs. stronger privacy protection
user-level DP,differentially private (DP) algorithm,requires output to be insensitive to replacing entire local dataset of any user
item-level DP,DP-SCO,has known optimal rates for under central and local models
DP-SCO,user-level DP,optimal rates are a fundamental question
user-level DP,item-level DP,can potentially attain better rates than
naive baseline,item-level DP algorithms,uses existing algorithms with modified privacy notion
naive baseline,user-level DP,yields rates same as case where m=1
Levy et al. (2021),DP-SCO rate,gives an upper bound in central model for smooth loss
DP-SCO rate,Lipschitz condition,scales as ≈ 1/√m in worst case under
