node_1,node_2,edge
Adversarial attacks,Natural Language Processing,applied in
Character-level attacks,Adversarial attacks,type of
Token-level attacks,Adversarial attacks,type of
Character-level attacks,sentence semantics,maintains
Token-level attacks,sentence semantics,alters
Charmer,query-based adversarial attack,is a
Charmer,attack success rate,achieves high
Charmer,adversarial examples,generates highly similar
Charmer,BERT,targets
Charmer,Llama 2,targets
BERT,SST-2,evaluated on
Charmer,USE similarity,improves
Language Models,Natural Language Processing,used in
Language Models,robustness,concerned with
general counseling via chat interfaces,OpenAI,developed by
robustness to natural and adversarial noise,general counseling via chat interfaces,failure concerning
robustness to natural and adversarial noise,Belinkov & Bisk,discovered by
robustness to natural and adversarial noise,Alzantot et al.,discovered by
Adversarial attacks,computer vision community,adopted by
Adversarial attacks,Machine Learning models,discover worst-case performance of
Adversarial attacks,Szegedy et al.,introduced by
Adversarial attacks,Goodfellow et al.,introduced by
Adversarial attacks,defend against failure cases,used to
defend against failure cases,Madry et al.,proposed by
defend against failure cases,Zhang et al.,proposed by
Charmer,sentiment classification task,applied to
Charmer,adversarial attack,is a type of
adversarial attacks,Language Models (LMs),application in
application of adversarial attacks in LMs,algorithmic constraints,constrained by
application of adversarial attacks in LMs,imperceptibility constraints,constrained by
algorithmic constraints,Guo et al.,discussed by
imperceptibility constraints,Morris et al.,discussed by
NLP tasks,sequences,work with
computer vision tasks,tensors of real numbers,consist of
computer vision tasks,NLP tasks,contrasted with
NLP tasks,sequences of discrete non-numerical inputs,characterized by
adversarial attacks,NP-hard problem,is
adversarial attacks,convex classifiers,hard even for
gradient-based methods,obtaining adversarial examples,hardened for
attackers,gradient based strategies in the embedding space,adopt
gradient based strategies in the embedding space,token vocabulary,restricted to
black-box setting,input-output access to the model,assumes
adversarial examples,imperceptibility,requires
