node_1,node_2,edge
Diffusion models,Projective composition,studied in the context of
Projective composition,Out-of-distribution extrapolation,focuses on
Projective composition,Length generalization,focuses on
Linear score combination,Projective composition,can achieve
Linear score combination,Length generalization,can achieve
Reverse-diffusion sampling,Desired composition,generates
Composition,Failure,conditions under which occurs
Theoretical analysis,Empirical observations,connected to
Simple heuristic,Success or failure of compositions,predicts
diffusion models,score composition,composed via
score composition,content from one model,combines
score composition,style of another model,combines
diffusion models,pretrained models,are a type of
composing different concepts,pretrained models,represented by
composing different concepts,image and video synthesis,applied to
composing different concepts,planning,applied to
length-generalization,composition,is a capability of
diffusion models,single object,trained to generate
diffusion models,multiple objects at specified locations,composed to generate
inference-time composition,images of multiple objects at specified locations,generates
inference-time composition,out-of-distribution images,produces
individual models,out-of-distribution images,cannot generate
pretrained models,novel compositions,used to build
diffusion models,oil paintings of your dog,combined to generate
composition,out-of-distribution generation,enables
prior empirical work,composition,shows achievability
composition,theoretical foundations,lacks understanding
