node_1,node_2,edge
Neural Algorithmic Reasoning,Causal Regularisation,uses
Neural Algorithmic Reasoning,reasoning capabilities,investigates
neural networks,classical algorithms,can learn to execute
neural reasoners,out-of-distribution (OOD) test data,performance degrades on
algorithm,intermediate computations,performs
data augmentation procedures,algorithm’s intermediate trajectory,produce inputs from
self-supervised objective,causal graph,formalised in
Hint-ReLIC,OOD generalisation capabilities,improves
Hint-ReLIC,CLRS algorithmic reasoning benchmark,evaluated on
neural networks,reasoning,advocated for building
algorithms,neural networks,combined to enhance robustness and flexibility
reasoning,out-of-distribution (OOD) examples,applicable to novel problems
algorithm,out-of-distribution (OOD) examples,gracefully applicable on
algorithm,sequential step-by-step process,is a
reasoning,sequential step-by-step process,is a
algorithm,sequential step-by-step process,is defined as
algorithm,reasoning,is a type of
algorithm,Graph Neural Network (GNN) processors,can be learned by
CLRS-30 benchmark,algorithmic tasks,evaluates
CLRS-30 benchmark,ground-truth hints,provides
ground-truth hints,variables,correspond to state of
hints,training,used during
hints,evaluation,not available during
hints,auxiliary targets,used as
gradients,neural algorithmic executor,constrain representations in
predicted hints,model,fed back into
predicted hints,algorithmic trajectory,help follow
