node_1,node_2,edge
Risk Ratio (RR),Risk Difference (RD),complementary measures of effect
Risk Ratio (RR),observational studies,estimated in
Risk Ratio (RR),treatment effect estimation,used for
Risk Ratio (RR),influence function theory,analyzed via
Risk Ratio (RR),doubly-robust estimators,estimated by
Risk Difference (RD),randomized controlled trials (RCTs),used in
Risk Difference (RD),observational studies,used in
observational studies,treatment effect estimation,context for
influence function theory,efficient estimators,yields
doubly-robust estimators,convergence assumptions,have different
Doubly-robust estimators,Treatment effect estimation,used for
Randomized Controlled Trials (RCTs),Average Treatment Effect (ATE),quantifies
Randomization,Confounding influences,removes
CONSORT guideline,Risk Ratio (RR),recommends reporting
CONSORT guideline,Risk Difference (RD),recommends reporting
Risk Ratio (RR),Risk Difference (RD),complementary measures
Baseline mortality,Treatment effect,affected by
Physicians' inclination,Treatment effect measures,influenced by
physicians’ inclination to treat patients,scale utilized to present clinical effects,influenced by
treatment effect,patient characteristics,varies according to
treatment effect,scale,"may be heterogeneous in one scale, homogeneous in another"
causal measure properties,generalization of the treatment effect,discusses with focus on
RD (Risk Difference),clinical trial data,widely used in analysis of
RR (Risk Ratio),clinical trial data,widely used in analysis of
Risk Ratio,outcomes always positive or negative,particularly relevant in scenarios where
Risk Ratio,expected potential outcomes being small,more stable and interpretable than RD when
Risk Ratio,Odds Ratio (OR),closely approximates in cases of rare treatment occurrences
RR from clinical trials,individual patient baseline,recommended to use with estimation of
